xpos	ypos	fdur	subj	trial	fixation
21.83	13.84	68	1	13	1
15.65	15.375	212	1	13	2
12.345	17.665	592	1	13	3
14.865	14.415	371	1	13	4
12.88	13.205	320	1	13	5
9.57	20.66	519	1	13	6
13.91	14.325	440	1	13	7
15.64	14.195	828	1	13	8
9.985	15.125	419	1	13	9
12.92	14.735	262	1	13	10
16.37	18.595	613	1	13	11
18.14	16.495	351	1	13	12
18.945	14.04	609	1	13	13
27.205	15.445	149	1	13	14
28.14	22.84	333	1	13	15
22.09	22.62	193	1	13	16
10.3	21.205	492	1	13	17
15.05	18.75	356	1	13	18
18.685	10.89	291	1	13	19
13.45	8.995	276	1	13	20
10.22	15.41	222	1	13	21
7.155	18.15	342	1	13	22
9.71	18.765	339	1	13	23
15.59	18.31	241	1	13	24
27.025	15.955	331	1	13	25
12.42	7.355	145	2	26	1
12.775	12.01	191	2	26	2
11.875	16.73	214	2	26	3
12.43	18.905	219	2	26	4
16.365	18.47	263	2	26	5
19.265	17.875	425	2	26	6
18.22	18.6	210	2	26	7
12.335	18.19	280	2	26	8
10.35	17.615	372	2	26	9
13.98	17.32	308	2	26	10
20.93	14.115	518	2	26	11
13.535	8.17	976	2	26	12
13.26	14.395	438	2	26	13
12.74	16.63	500	2	26	14
13.075	19.69	345	2	26	15
19.75	18.6	956	2	26	16
19.295	17.26	418	2	26	17
25.645	16.405	334	2	26	18
27.02	17.35	266	2	26	19
27.625	20.795	600	2	26	20
21.805	19.09	424	2	26	21
18.91	17.4	321	2	26	22
14.05	13.44	164	2	26	23
7.075	12.46	486	2	26	24
17.26	11.52	168	3	24	1
13.31	10.035	134	3	24	2
12.46	13.725	275	3	24	3
17.125	9.695	230	3	24	4
12.99	13.43	181	3	24	5
10.57	16.02	238	3	24	6
17.69	15.23	226	3	24	7
15.715	10.97	164	3	24	8
9.775	10.465	318	3	24	9
13.535	7.725	258	3	24	10
17.225	9.74	179	3	24	11
15.91	14.42	216	3	24	12
13.365	15.845	275	3	24	13
15.705	13.73	285	3	24	14
16.995	11.715	144	3	24	15
12.75	12.495	309	3	24	16
12.3	15.425	207	3	24	17
16.925	14.34	251	3	24	18
15.305	12.085	477	3	24	19
16.945	8.765	255	3	24	20
11.825	11.42	251	3	24	21
14.95	12.415	292	3	24	22
14.85	14.095	277	3	24	23
16.695	13.535	221	3	24	24
20.805	14	138	3	24	25
27.53	14	469	3	24	26
14.11	12.805	199	3	24	27
8.555	11.6	212	3	24	28
4.885	8.865	218	3	24	29
9.015	5.595	308	3	24	30
15.03	1.61	160	3	24	31
12.685	12.525	223	3	24	32
12.485	14.57	285	3	24	33
16.325	14.945	200	3	24	34
13.29	12.51	209	3	24	35
15.61	11.825	213	3	24	36
13.79	12.56	201	3	24	37
16.475	12.395	229	3	24	38
5.195	18.37	201	4	3	1
12.31	16.145	143	4	3	2
17.345	15.465	277	4	3	3
21.295	16.135	500	4	3	4
23.965	15.23	306	4	3	5
19.055	16.275	189	4	3	6
11.33	16.855	190	4	3	7
9.05	19.895	370	4	3	8
14.07	15.575	893	4	3	9
22.965	13.31	364	4	3	10
24.945	15.745	236	4	3	11
25.8	18.715	461	4	3	12
27.445	5.965	482	4	3	13
24.94	15.515	430	4	3	14
27.675	19.615	440	4	3	15
21.75	20.635	283	4	3	16
15.925	18	441	4	3	17
9.5	14.225	2912	4	3	18
9.03	18.28	245	4	3	19
21.27	12.765	285	5	39	1
11.525	10.78	345	5	39	2
10.77	17.72	301	5	39	3
13.91	11.9	394	5	39	4
7.38	5.9	171	5	39	5
3.07	4.73	279	5	39	6
10.095	7.085	156	5	39	7
14.375	7.21	202	5	39	8
15.66	10.49	277	5	39	9
13.23	20.465	160	5	39	10
11.595	23.765	409	5	39	11
3.775	4.46	697	5	39	12
13.345	7.52	251	5	39	13
23.74	7.885	208	5	39	14
22.43	9.275	341	5	39	15
29.435	10.85	253	5	39	16
28.36	14.64	443	5	39	17
30.125	19.785	232	5	39	18
30.445	24.315	284	5	39	19
19.92	23.51	317	5	39	20
10.16	19.83	341	5	39	21
5.325	19.475	443	5	39	22
7.095	20.635	406	5	39	23
14.805	19.45	422	5	39	24
19.51	19.21	840	5	39	25
22.625	11.835	221	5	39	26
12.49	8.965	402	5	39	27
13.535	10.46	106	5	39	28
14.005	16.33	251	6	15	1
13.46	17.925	338	6	15	2
18.39	15.42	180	6	15	3
25.555	20.09	382	6	15	4
9.5	18.295	321	6	15	5
6.445	11.295	485	6	15	6
20.295	16.22	371	6	15	7
14.845	18.93	213	6	15	8
12.59	16.925	243	6	15	9
13.855	7.935	555	6	15	10
24.285	13.945	426	6	15	11
25.98	20.76	377	6	15	12
22.88	19.76	247	6	15	13
16.955	12.855	466	6	15	14
13.39	10.67	219	6	15	15
8.355	14.68	226	6	15	16
7.91	21.225	198	6	15	17
7.31	23.78	381	6	15	18
8.385	16.005	289	6	15	19
25.16	19.44	398	6	15	20
17.19	11.24	151	6	15	21
12.785	7.285	270	6	15	22
14.23	6.665	265	6	15	23
24.105	14.365	339	6	15	24
27.53	18.65	313	6	15	25
27.665	16	383	6	15	26
16.535	20.15	463	6	15	27
26.7	23.33	172	6	15	28
8.195	7.35	184	7	30	1
11.83	14.835	119	7	30	2
13.53	13.205	153	7	30	3
14.95	23.055	218	7	30	4
21.72	22.01	312	7	30	5
17.97	20.185	411	7	30	6
2.725	22.62	555	7	30	7
9.755	22.46	270	7	30	8
7.015	18.49	591	7	30	9
11.375	19.415	142	7	30	10
14.97	19.315	278	7	30	11
17.935	18.755	160	7	30	12
27.65	20.73	1207	7	30	13
17.615	6.51	943	7	30	14
2.785	6.8	637	7	30	15
4.705	10.28	1043	7	30	16
7.64	20.445	367	7	30	17
20.47	24.16	474	7	30	18
18.37	23.635	1357	7	30	19
20.15	8.575	0	8	2	1
18.015	9.18	337	8	2	2
15.81	11.41	135	8	2	3
13.455	11.19	362	8	2	4
12.44	10.325	428	8	2	5
9.925	18.455	172	8	2	6
3.56	18.07	168	8	2	7
2.28	18.46	181	8	2	8
12.08	7.46	206	8	2	9
13.655	6.235	188	8	2	10
21.365	12.275	248	8	2	11
24.61	15.455	139	8	2	12
26.795	15.17	237	8	2	13
21.065	14.145	202	8	2	14
17.675	13.575	419	8	2	15
10.39	16.02	362	8	2	16
8.96	16.94	176	8	2	17
7.48	16.195	337	8	2	18
11.015	17.23	239	8	2	19
14.68	17.185	478	8	2	20
12.995	17.685	279	8	2	21
15.775	17.97	286	8	2	22
15.48	19.41	176	8	2	23
8.79	19.3	116	8	2	24
5.75	22.645	160	8	2	25
4.385	23.415	259	8	2	26
3.15	23.05	285	8	2	27
5.985	8.68	383	8	2	28
4.81	3.39	199	8	2	29
3.835	1.76	197	8	2	30
8.28	3.63	166	8	2	31
22.615	3.86	188	8	2	32
29.14	3.915	189	8	2	33
30.115	0.905	158	8	2	34
21.49	1.17	133	8	2	35
27.795	15.235	200	8	2	36
28.92	21.21	318	8	2	37
27.645	22.11	299	8	2	38
20.36	12.8	1	8	2	39
12.675	16.905	260	9	13	1
16.7	15.48	310	9	13	2
21.57	8.63	331	9	13	3
25.15	11.135	700	9	13	4
19.445	4.37	323	9	13	5
9.245	4.39	498	9	13	6
10.77	6.85	375	9	13	7
18.64	7.325	420	9	13	8
27.035	9.695	390	9	13	9
30.66	3.525	360	9	13	10
25.865	5.815	168	9	13	11
26.26	20.165	702	9	13	12
15.15	21.605	246	9	13	13
7.835	21.115	498	9	13	14
9.24	22.34	258	9	13	15
16.83	20.805	354	9	13	16
23.585	18.695	283	9	13	17
27.465	7.835	726	9	13	18
22.865	5.125	434	9	13	19
14.17	7.295	328	9	13	20
8.885	6.69	622	9	13	21
6.565	13.5	277	9	13	22
9.215	17.23	390	9	13	23
15.445	18.855	117	9	13	24
25.595	7.67	217	10	2	1
17.155	10.93	140	10	2	2
8.38	20.655	307	10	2	3
13.645	18.845	291	10	2	4
10.71	17.975	265	10	2	5
6.87	17.74	226	10	2	6
13.845	18.25	238	10	2	7
18.64	21.1	228	10	2	8
22.16	22.695	331	10	2	9
25.36	19.745	278	10	2	10
13.705	16.61	201	10	2	11
8.39	16.115	299	10	2	12
5.385	10.615	378	10	2	13
3.545	5.2	232	10	2	14
3.375	2.09	177	10	2	15
16.625	2.14	196	10	2	16
25.17	3.74	224	10	2	17
28.18	5.42	233	10	2	18
27.65	13.405	232	10	2	19
21.495	17.585	206	10	2	20
21.26	23.19	296	10	2	21
24.955	23.14	787	10	2	22
20.155	22.275	214	10	2	23
14.585	20.145	173	10	2	24
8.89	23.595	319	10	2	25
6.75	23.08	353	10	2	26
2.535	19.105	282	10	2	27
3.98	16.66	250	10	2	28
6.675	15.255	248	10	2	29
6.19	8.86	204	10	2	30
4.705	3.04	219	10	2	31
13.125	7.535	462	10	2	32
20.675	9.91	258	10	2	33
26.71	8.57	225	10	2	34
28.96	9.75	73	10	2	35
26.365	21.17	331	11	12	1
13.03	12.145	706	11	12	2
9.66	14	281	11	12	3
12.355	16.685	359	11	12	4
10.725	19.58	706	11	12	5
10.02	13.315	190	11	12	6
18.46	11.065	727	11	12	7
21.87	6.98	302	11	12	8
22.325	2.965	296	11	12	9
27.725	2.95	424	11	12	10
20.27	4.345	282	11	12	11
13.22	4.415	212	11	12	12
6	2.56	616	11	12	13
3.255	4.045	375	11	12	14
2.93	10.66	252	11	12	15
8.16	15.16	327	11	12	16
13.42	17.94	230	11	12	17
18.83	19.11	536	11	12	18
24.7	18.725	372	11	12	19
5.01	20.74	375	11	12	20
12.665	14.65	305	11	12	21
11.635	7.37	311	11	12	22
15.45	9.965	771	11	12	23
17.565	4.435	212	12	9	1
15.605	7.605	153	12	9	2
12.86	16.145	323	12	9	3
16.51	17.36	247	12	9	4
20.96	17.505	246	12	9	5
25.025	17.01	334	12	9	6
25.26	19.24	186	12	9	7
14.46	20.065	366	12	9	8
9.85	16.045	383	12	9	9
14.335	15.245	299	12	9	10
20.645	15.43	495	12	9	11
27.045	15.75	316	12	9	12
29.365	18.125	374	12	9	13
29.885	21.775	447	12	9	14
24.98	10.01	274	12	9	15
12.81	7.2	226	12	9	16
7.295	6.29	319	12	9	17
3.74	6.285	267	12	9	18
4.6	12.675	254	12	9	19
7.58	17.93	371	12	9	20
5.645	19.53	339	12	9	21
12.46	17.17	184	12	9	22
17.745	16.29	202	12	9	23
21.95	16.11	394	12	9	24
25.775	16.605	292	12	9	25
28.58	17.255	789	12	9	26
25.46	18.24	301	12	9	27
21.915	16.05	389	12	9	28
10.38	12.95	209	12	9	29
23.59	13.68	162	13	10	1
17.235	13.325	129	13	10	2
11.34	14.99	279	13	10	3
8.655	18.1	361	13	10	4
6.585	18.89	504	13	10	5
10.39	18	288	13	10	6
14.78	18.24	398	13	10	7
16.335	16.82	795	13	10	8
19.88	17.685	291	13	10	9
21.625	17.94	241	13	10	10
22.39	18.155	274	13	10	11
23.865	18.855	265	13	10	12
26.965	19.63	221	13	10	13
27.485	18.7	932	13	10	14
22.54	14.555	193	13	10	15
20.64	13.945	234	13	10	16
13.955	13.785	203	13	10	17
12.98	12.46	299	13	10	18
13.83	8.21	228	13	10	19
4.73	6.865	332	13	10	20
3.66	15.68	194	13	10	21
3.105	19.725	426	13	10	22
5.555	21.455	366	13	10	23
9.865	20.72	222	13	10	24
11.72	20.045	271	13	10	25
15.825	15.75	433	13	10	26
19.14	17.11	271	13	10	27
20.595	16.27	263	13	10	28
21.86	13.36	127	13	10	29
26.205	8.02	210	13	10	30
9.63	20.045	299	14	2	1
7.975	16.53	325	14	2	2
4.895	15.015	936	14	2	3
13.465	20.395	305	14	2	4
18.995	19.02	219	14	2	5
22.655	18.1	303	14	2	6
26.46	7.745	507	14	2	7
18.435	3.8	310	14	2	8
13.635	3.485	179	14	2	9
4.795	4.35	372	14	2	10
25.475	13.3	96	14	2	11
29.29	20.445	248	14	2	12
7.56	21.01	158	14	2	13
3.47	22.26	210	14	2	14
8.915	7.115	331	14	2	15
15.83	4.18	144	14	2	16
19.94	10.945	369	14	2	17
24.02	12.01	228	14	2	18
22.47	15.34	166	14	2	19
13.755	19.22	527	14	2	20
16.3	17.445	279	14	2	21
13.955	9.22	232	14	2	22
12.735	5.24	232	14	2	23
7.215	2.005	250	14	2	24
3.355	2.055	269	14	2	25
3.73	9.795	210	14	2	26
5.435	17.675	141	14	2	27
4.05	22.915	434	14	2	28
17.785	15.175	374	14	2	29
26.255	5.475	485	14	2	30
10.17	16.265	219	15	4	1
13.815	14.425	225	15	4	2
14.21	5.17	245	15	4	3
3.23	2.99	272	15	4	4
6.56	19.325	258	15	4	5
3.43	24.01	448	15	4	6
12.76	21.005	316	15	4	7
28.83	19.385	672	15	4	8
19.3	16.13	494	15	4	9
23.05	8.785	371	15	4	10
22.915	9.9	777	15	4	11
30.91	1.485	362	15	4	12
27.085	2.53	196	15	4	13
27.335	6.105	328	15	4	14
12.88	8.795	357	15	4	15
12.865	12.14	467	15	4	16
12.235	18.065	296	15	4	17
3.735	20.355	632	15	4	18
14.71	17.145	329	15	4	19
26.625	16.67	330	15	4	20
26.31	6.08	420	15	4	21
29.14	12.325	215	15	4	22
29.32	23.225	249	15	4	23
20.985	18.905	356	15	4	24
18.285	21.895	296	15	4	25
10.855	21.365	10	15	4	26
16.255	8.965	19	16	3	1
14.585	12.99	610	16	3	2
9.58	10.825	363	16	3	3
10.92	14.285	418	16	3	4
8.1	12.54	271	16	3	5
11.62	15.32	272	16	3	6
14.87	15.665	156	16	3	7
21.755	14.915	404	16	3	8
26.3	13.96	200	16	3	9
28.91	19.21	583	16	3	10
26.265	15.945	726	16	3	11
28.25	17.895	1087	16	3	12
30.085	22.025	540	16	3	13
30.635	24.15	519	16	3	14
28.575	20.575	830	16	3	15
25.435	11.005	449	16	3	16
19.025	6.635	309	16	3	17
18.145	7.675	275	16	3	18
11.525	8.305	241	16	3	19
5.73	7.605	199	16	3	20
5.99	9.645	731	16	3	21
10.6	16.035	266	17	8	1
16.745	17.44	512	17	8	2
22.89	19.34	730	17	8	3
17.575	17.75	269	17	8	4
8.795	15.735	318	17	8	5
5.435	9.385	277	17	8	6
12.305	15.365	276	17	8	7
26.61	14.48	401	17	8	8
31.035	16.53	170	17	8	9
30.2	23.99	424	17	8	10
25.245	22.71	439	17	8	11
27.2	6.395	704	17	8	12
11.33	7.57	364	17	8	13
6.92	6.765	397	17	8	14
3.77	23.305	463	17	8	15
10.85	23.41	360	17	8	16
15.515	17.455	304	17	8	17
12.09	14.47	940	17	8	18
20.67	11.35	450	17	8	19
20.83	15.915	336	17	8	20
19.665	20.17	407	17	8	21
18.055	21.21	272	17	8	22
29.18	21.64	134	17	8	23
4.445	12.36	276	18	16	1
6.97	16.14	857	18	16	2
12.365	18.505	236	18	16	3
17.325	19.04	328	18	16	4
21.185	17.98	266	18	16	5
23.94	18.285	261	18	16	6
20.26	19.175	357	18	16	7
23.945	18.945	371	18	16	8
25.94	19.645	301	18	16	9
22.025	18.545	183	18	16	10
14.655	15.465	268	18	16	11
12.73	12.53	741	18	16	12
22.37	5.5	358	18	16	13
20.81	13.93	342	18	16	14
18.255	15.38	274	18	16	15
16.15	15.73	193	18	16	16
7.84	14.5	856	18	16	17
9.855	17.425	177	18	16	18
12.07	17.415	170	18	16	19
16.815	17.265	514	18	16	20
21.305	17.08	2302	18	16	21
24.22	17.11	165	19	22	1
18.55	15.74	274	19	22	2
13.395	14.655	202	19	22	3
8.94	12.585	263	19	22	4
10.305	12.405	521	19	22	5
11.895	12.37	274	19	22	6
12.11	16.88	477	19	22	7
9.59	17.235	313	19	22	8
13.37	14.065	321	19	22	9
9.195	12.335	329	19	22	10
6.69	14.39	364	19	22	11
10.54	14.445	231	19	22	12
15.795	16.205	453	19	22	13
19.865	14.81	639	19	22	14
15.625	18.605	606	19	22	15
16.635	16.005	367	19	22	16
9.11	15.39	474	19	22	17
11.41	15.375	1902	19	22	18
11.615	16.415	1092	19	22	19
14.74	17.295	196	19	22	20
8.845	5.7	595	20	3	1
7.35	8.145	263	20	3	2
6.74	20.88	1344	20	3	3
12.565	19.85	773	20	3	4
16.38	19.61	238	20	3	5
19.06	19.435	581	20	3	6
20.96	20.025	254	20	3	7
21.83	3.385	76	20	3	8
20.675	6.775	246	20	3	9
13.875	5.705	520	20	3	10
21.64	12.28	176	20	3	11
25.165	15.815	246	20	3	12
27.465	16.51	451	20	3	13
29.775	22.13	548	20	3	14
17.28	18.48	124	20	3	15
15.635	11.555	97	20	3	16
15.115	16.89	243	20	3	17
17.25	8.29	321	20	3	18
17.755	2.495	604	20	3	19
15.215	19.305	360	20	3	20
6.085	20.11	309	20	3	21
2.995	20.395	234	20	3	22
15.78	15.23	340	20	3	23
18.055	17.35	338	20	3	24
18.55	17.585	191	20	3	25
14.94	15.2	237	21	17	1
18.315	12.215	195	21	17	2
12.005	11.79	168	21	17	3
16.445	19.51	264	21	17	4
14.555	16.525	218	21	17	5
9.05	17.57	185	21	17	6
4.255	21.94	225	21	17	7
14.98	20.3	154	21	17	8
21.605	20.04	202	21	17	9
24.925	10.03	170	21	17	10
12.855	8.77	248	21	17	11
21.75	20.42	248	21	17	12
25.045	19.755	193	21	17	13
14.31	16.495	282	21	17	14
23.085	9.395	164	21	17	15
27.73	19.18	203	21	17	16
29.12	23.685	380	21	17	17
14.6	21.845	228	21	17	18
12.505	6.24	213	21	17	19
14.165	14.05	265	21	17	20
15.425	20.505	322	21	17	21
27.92	22.57	243	21	17	22
4.54	22.145	293	21	17	23
10.815	12.71	225	21	17	24
14.51	12.815	226	21	17	25
17.365	17.36	703	21	17	26
26.68	22.245	545	21	17	27
28.065	21.615	313	21	17	28
15.285	19.25	254	21	17	29
17.86	17.56	649	21	17	30
19.01	16.19	349	21	17	31
12.475	14.88	95	21	17	32
19.355	14.16	0	22	17	1
17.61	15.06	346	22	17	2
13.31	12.06	476	22	17	3
19.995	16.155	383	22	17	4
26.305	15.155	357	22	17	5
19.55	19.34	356	22	17	6
11.72	8.63	386	22	17	7
17.77	7.465	283	22	17	8
14.35	5.97	578	22	17	9
10.965	16.205	567	22	17	10
1.88	4.76	356	22	17	11
12.755	3.765	560	22	17	12
22.335	8.395	172	22	17	13
26.49	18.615	228	22	17	14
17.065	21.115	811	22	17	15
6.425	9.455	313	22	17	16
14.425	13.6	389	22	17	17
23.57	6.785	327	22	17	18
20.215	14.83	662	22	17	19
8.07	2.74	354	22	17	20
15.04	12.535	367	22	17	21
19.205	17.6	884	22	17	22
21.77	15.025	147	23	38	1
14.325	18.035	264	23	38	2
15.61	16.415	249	23	38	3
15.595	13.48	160	23	38	4
6.895	14.605	210	23	38	5
6.82	22.22	250	23	38	6
11.515	21.895	385	23	38	7
13.745	20.25	154	23	38	8
17.56	17.525	230	23	38	9
8.505	16.175	286	23	38	10
19.53	16.06	311	23	38	11
24.46	17.03	399	23	38	12
27.96	16.515	314	23	38	13
18.44	17.455	228	23	38	14
22.585	17.455	166	23	38	15
28.04	17.14	245	23	38	16
29.45	16.99	334	23	38	17
25.97	15.645	13	23	38	18
25.16	15.13	202	23	38	19
27.07	15.315	135	23	38	20
28.89	6.28	184	23	38	21
16.345	16.69	225	23	38	22
17.25	18.565	160	23	38	23
11.75	21.05	394	23	38	24
9.89	19.515	258	23	38	25
14.285	18.46	172	23	38	26
18.05	18.97	278	23	38	27
25.46	18.12	373	23	38	28
28.495	18.21	193	23	38	29
13.865	17.815	276	23	38	30
17.47	16.305	96	23	38	31
20.84	14.24	222	23	38	32
12.17	12.735	295	23	38	33
14.195	5.45	391	23	38	34
16.555	2.035	315	23	38	35
7.1	8.275	200	23	38	36
12.035	9.03	168	23	38	37
21.7	5.935	231	24	1	1
15.565	8.02	178	24	1	2
