xpos	ypos	fdur	subj	trial	fixation
11.72	16.21	13	1	24	1
15.06	16.385	318	1	24	2
7.19	11.515	271	1	24	3
8.98	7.79	282	1	24	4
15.925	17.57	279	1	24	5
19.14	18.345	288	1	24	6
21.31	14.635	307	1	24	7
25.755	6.635	380	1	24	8
10.32	8.815	452	1	24	9
8.025	7.76	405	1	24	10
8.265	15.55	204	1	24	11
6.525	20.685	318	1	24	12
16.34	21.57	434	1	24	13
20.15	17.17	353	1	24	14
21.74	13.915	512	1	24	15
22.375	14.405	897	1	24	16
19.22	14.85	287	1	24	17
15.14	17.945	186	1	24	18
7.525	21.09	386	1	24	19
10.76	10.485	358	1	24	20
21.265	11.165	173	1	24	21
25.245	18.345	354	1	24	22
29.225	5.84	333	1	24	23
24.105	5.405	458	1	24	24
9.675	6.69	242	1	24	25
7.19	6.355	579	1	24	26
19.12	17.83	192	2	4	1
13.905	15.49	172	2	4	2
8.81	13.545	354	2	4	3
7.985	7.575	292	2	4	4
13.155	5.165	377	2	4	5
15.575	6.145	187	2	4	6
23.105	6	380	2	4	7
22.855	10.69	161	2	4	8
19.115	17.805	326	2	4	9
15.065	19.485	197	2	4	10
12.61	21.73	765	2	4	11
16.035	21.825	25	2	4	12
23.88	22.005	294	2	4	13
28.705	21.94	599	2	4	14
11.875	19.69	360	2	4	15
6.03	19.885	207	2	4	16
4.93	20.38	17	2	4	17
5.57	20.88	309	2	4	18
13.88	18.535	306	2	4	19
18.24	16.225	205	2	4	20
21.07	15.03	356	2	4	21
26.095	12.385	240	2	4	22
21.395	7.615	379	2	4	23
23.89	6.18	624	2	4	24
15.83	7.385	425	2	4	25
7.645	7.15	316	2	4	26
8.465	13.33	715	2	4	27
18.375	8.035	151	2	4	28
15.11	11.855	253	3	31	1
10.555	12.205	225	3	31	2
8.255	10.21	158	3	31	3
6.835	7.2	201	3	31	4
9.69	10.545	155	3	31	5
22.71	4.66	223	3	31	6
20.345	12.495	200	3	31	7
13.655	13.66	148	3	31	8
8.905	13.71	199	3	31	9
5.46	18.475	203	3	31	10
8.06	13.695	720	3	31	11
7.945	13.825	157	3	31	12
3.675	11.815	200	3	31	13
4.735	18.99	178	3	31	14
4.8	20.2	213	3	31	15
8.66	13.99	197	3	31	16
21.235	14.795	260	3	31	17
23.44	8.68	217	3	31	18
22.83	5.395	105	3	31	19
8.88	11.735	145	3	31	20
7.79	13.715	241	3	31	21
6.42	5.935	250	3	31	22
7.29	11.64	151	3	31	23
7.81	14.11	219	3	31	24
5.145	18.48	149	3	31	25
4.505	20.165	159	3	31	26
15.195	19.31	260	3	31	27
16.955	18.215	249	3	31	28
20.485	15.035	243	3	31	29
24.055	7.015	210	3	31	30
22.945	4.075	305	3	31	31
7.63	6.72	167	3	31	32
7.505	12.88	309	3	31	33
3.235	11.975	139	3	31	34
3.96	19.865	199	3	31	35
16.61	20.095	142	3	31	36
23.21	20.04	162	3	31	37
25.96	21.01	193	3	31	38
8.87	15.29	149	3	31	39
3.905	11.38	234	3	31	40
5.805	5.765	16	3	31	41
6.765	4.36	208	3	31	42
19.325	1.785	20	3	31	43
13.475	13.815	227	4	12	1
21.04	14.28	305	4	12	2
23.13	5.38	304	4	12	3
10.69	6.045	150	4	12	4
7.75	6.16	286	4	12	5
14.145	6.42	127	4	12	6
11.155	14.365	82	4	12	7
13.56	18.725	236	4	12	8
18.855	17.705	280	4	12	9
21.525	17.895	286	4	12	10
19.795	15.555	166	4	12	11
11.715	14.725	131	4	12	12
19.39	15.08	115	4	12	13
20.83	14.805	683	4	12	14
21.255	14.69	497	4	12	15
22.45	13.75	119	4	12	16
16.77	14.36	277	4	12	17
20.6	14.765	940	4	12	18
10.86	13.41	109	4	12	19
8.775	13.625	173	4	12	20
12.585	12.42	293	4	12	21
13.99	15.12	218	4	12	22
22.335	16.53	386	4	12	23
21.795	15.37	224	4	12	24
21.405	14.47	1099	4	12	25
18.3	15.155	203	4	12	26
9.695	14.72	272	4	12	27
21.215	15.325	541	4	12	28
21.825	14.435	328	4	12	29
16.17	20.79	234	5	15	1
18.615	13.42	166	5	15	2
6.975	7.485	647	5	15	3
4.1	20.995	1227	5	15	4
6.355	20.27	165	5	15	5
4.395	20.515	269	5	15	6
7.905	14.55	238	5	15	7
7.14	6.145	170	5	15	8
7.295	7.955	150	5	15	9
8.765	13.165	316	5	15	10
21.775	14.75	306	5	15	11
15.425	17.345	149	5	15	12
4.995	20.61	285	5	15	13
10.72	19.625	205	5	15	14
7.96	13.56	559	5	15	15
21.21	15.585	1976	5	15	16
16.185	13.02	185	5	15	17
21.05	15.54	228	5	15	18
8.38	13.415	974	5	15	19
7.475	7.285	193	5	15	20
15.76	5.475	638	5	15	21
22.065	5.065	44	5	15	22
18.91	12.065	187	6	18	1
14.175	16.535	248	6	18	2
7.255	8.815	192	6	18	3
5.315	5.045	135	6	18	4
7.6	6.975	335	6	18	5
8.33	14.045	281	6	18	6
6.99	18.015	161	6	18	7
15.27	6.66	540	6	18	8
14.46	5.23	282	6	18	9
10.335	7.12	231	6	18	10
22.72	5.62	289	6	18	11
22.85	10	178	6	18	12
21.085	14.74	354	6	18	13
13.45	19.34	185	6	18	14
5.5	19.49	340	6	18	15
8.295	14.275	367	6	18	16
6.805	6.98	595	6	18	17
4.755	7.625	272	6	18	18
4.385	11.475	261	6	18	19
7.475	6.73	698	6	18	20
16.64	6.515	264	6	18	21
24.075	5.535	360	6	18	22
13.44	5.11	337	6	18	23
14.42	5.47	323	6	18	24
12.36	3.775	188	6	18	25
22.93	5.245	317	6	18	26
23.86	5.525	155	6	18	27
22.3	18.815	221	6	18	28
16.815	22.75	338	6	18	29
4.66	19.69	340	6	18	30
8.23	12.415	171	6	18	31
27.46	8.3	184	7	1	1
14.275	9.47	148	7	1	2
8.335	9.395	153	7	1	3
6.66	17.245	196	7	1	4
4.61	20.905	784	7	1	5
12.765	20.585	310	7	1	6
10.535	16.215	236	7	1	7
12.55	19.84	425	7	1	8
8.255	10.415	199	7	1	9
6.025	7.875	389	7	1	10
22.54	3.825	279	7	1	11
27.665	3.14	363	7	1	12
23.115	10.945	172	7	1	13
26.41	24.9	294	7	1	14
23.685	24.505	170	7	1	15
5.49	21.805	511	7	1	16
9.25	13.52	310	7	1	17
12.79	14.335	235	7	1	18
7.125	13.825	237	7	1	19
3.725	12.435	471	7	1	20
6.165	7.395	336	7	1	21
7.65	6.395	138	7	1	22
15.105	5.505	204	7	1	23
18.935	8.135	192	7	1	24
20.145	14.99	2334	7	1	25
19.865	16.145	202	8	9	1
15.83	11.17	88	8	9	2
8.94	8.54	189	8	9	3
7.525	7.19	209	8	9	4
13.01	9.81	157	8	9	5
18.67	15.82	216	8	9	6
13.94	18.96	218	8	9	7
5.245	19.535	142	8	9	8
4.245	20.41	136	8	9	9
12.735	17.52	158	8	9	10
11.765	18.125	545	8	9	11
13.52	18.595	440	8	9	12
11.73	18.37	491	8	9	13
15.955	20.845	346	8	9	14
17.16	21.275	204	8	9	15
14.475	21.25	384	8	9	16
25.45	17.385	253	8	9	17
29.56	15.21	149	8	9	18
31.41	14.255	510	8	9	19
26.985	15.33	321	8	9	20
31.57	14.395	382	8	9	21
26.575	7.19	454	8	9	22
24.535	8.5	301	8	9	23
25.195	5.07	174	8	9	24
25.085	5.555	238	8	9	25
24.215	4.925	1319	8	9	26
29.215	1.88	263	8	9	27
31.2	1.42	285	8	9	28
9.415	2.985	138	8	9	29
5.235	4.345	192	8	9	30
2.32	5.425	135	8	9	31
13.545	13.18	458	9	9	1
5.75	17.975	198	9	9	2
4.53	19.95	161	9	9	3
19.14	19.415	317	9	9	4
27.435	20.065	417	9	9	5
17.235	16.505	205	9	9	6
8.14	8.365	458	9	9	7
7.36	5.99	354	9	9	8
21.52	4.5	293	9	9	9
24.775	4.965	928	9	9	10
25.3	10.25	473	9	9	11
23.85	15.815	249	9	9	12
26.93	19.77	366	9	9	13
17.925	21.455	290	9	9	14
5.005	20.59	518	9	9	15
15.895	18.8	329	9	9	16
16.75	18.555	414	9	9	17
25.9	19.51	488	9	9	18
27.63	15	290	9	9	19
28.015	4.155	267	9	9	20
24.1	3.585	293	9	9	21
21.805	4.005	302	9	9	22
7.445	4.925	332	9	9	23
6.81	5.605	248	9	9	24
5.2	3.205	438	9	9	25
7.62	5.17	230	9	9	26
23.85	15.295	293	10	30	1
20.46	14.535	192	10	30	2
13.755	6.075	139	10	30	3
7.44	6.635	483	10	30	4
13.2	3.935	270	10	30	5
18.545	6.725	274	10	30	6
23.16	5.86	444	10	30	7
21.855	14.695	216	10	30	8
9.995	19.45	143	10	30	9
4.61	20.905	400	10	30	10
14.88	19.465	298	10	30	11
13.845	22.605	266	10	30	12
12.425	19.075	287	10	30	13
16.515	18.45	297	10	30	14
21.125	15.345	330	10	30	15
7.985	13.31	241	10	30	16
7.285	6.57	566	10	30	17
6.415	6.085	287	10	30	18
10.1	2.62	342	10	30	19
16.135	5.41	240	10	30	20
21.155	7.675	371	10	30	21
25.63	4.98	433	10	30	22
29.19	2.66	505	10	30	23
22.39	4.125	426	10	30	24
23.705	15.195	173	10	30	25
25.845	23.26	433	10	30	26
22.545	24.26	116	10	30	27
9.405	22.2	156	10	30	28
4.245	20.775	329	10	30	29
3.85	12.63	183	10	30	30
2.22	7	168	10	30	31
17.585	12.125	179	11	35	1
7.89	13.65	337	11	35	2
7.13	6.2	295	11	35	3
12.95	5.135	343	11	35	4
17.875	10.805	115	11	35	5
7.46	19.83	161	11	35	6
4.575	20.805	334	11	35	7
12.355	23.165	241	11	35	8
20.705	19.12	271	11	35	9
26.03	6.315	936	11	35	10
28.19	2.93	352	11	35	11
7.065	3.78	325	11	35	12
7.045	5.67	496	11	35	13
9.93	5.895	431	11	35	14
8.125	11.935	186	11	35	15
7.71	14.175	158	11	35	16
4.845	21.42	253	11	35	17
12.85	22.825	636	11	35	18
21.79	20.595	289	11	35	19
26.64	19.2	530	11	35	20
22.585	17.685	1166	11	35	21
19.695	15.355	275	11	35	22
20.825	6.545	498	11	35	23
23.035	5.625	293	11	35	24
25.27	2.8	149	11	35	25
8.825	7.015	173	12	1	1
8.48	6.895	224	12	1	2
9.93	14.175	167	12	1	3
21.03	16.09	328	12	1	4
12.745	15.44	132	12	1	5
4.51	21.015	865	12	1	6
