xpos	ypos	fdur	subj	trial	fixation
12.17	13.565	279	1	3	1
13.585	13.55	193	1	3	2
15.63	6.71	214	1	3	3
15.175	9.105	277	1	3	4
13.545	8.705	533	1	3	5
16.885	8.555	309	1	3	6
20.43	17.51	329	1	3	7
21.595	16.965	253	1	3	8
8.865	16.76	237	1	3	9
9.26	19.58	1064	1	3	10
25.76	18.365	210	1	3	11
22.69	17.845	236	1	3	12
23.46	16.165	237	1	3	13
31.78	12.775	270	1	3	14
27.52	5.805	280	1	3	15
15.44	7.205	213	1	3	16
14.58	8.55	182	1	3	17
13.19	8.405	337	1	3	18
5.85	6.845	547	1	3	19
3.32	15.39	284	1	3	20
10.535	14.275	209	1	3	21
9.705	14.12	50	1	3	22
10.245	17.49	230	1	3	23
9.055	19.41	677	1	3	24
14.66	22.35	165	1	3	25
31.37	20.225	189	1	3	26
31.35	22.305	182	1	3	27
28.57	5.18	366	1	3	28
15.56	7.11	175	1	3	29
13.275	8.68	184	1	3	30
29.895	9.065	120	1	3	31
10.985	10.45	134	2	14	1
12.145	13.98	234	2	14	2
15.46	8.395	146	2	14	3
13.395	8.89	370	2	14	4
8.86	18.645	164	2	14	5
8.575	20.03	1751	2	14	6
9.795	14.32	280	2	14	7
13.365	14.185	217	2	14	8
18.655	14.46	242	2	14	9
21.7	16.06	178	2	14	10
20.66	14.37	424	2	14	11
24.095	12.445	341	2	14	12
17.065	8.7	179	2	14	13
15.41	8.905	247	2	14	14
13.2	9.035	399	2	14	15
8.185	8.395	304	2	14	16
8.635	10.825	770	2	14	17
4.36	9.385	227	2	14	18
3.985	12.37	382	2	14	19
4.3	15.795	183	2	14	20
7.695	18.56	179	2	14	21
8.23	20.145	211	2	14	22
16.445	18.66	198	2	14	23
27.27	16.355	317	2	14	24
30.46	12.18	317	2	14	25
28.89	8.595	475	2	14	26
29.975	8.485	464	2	14	27
13.485	8.765	220	3	23	1
14.79	10.455	106	3	23	2
10.08	14.585	224	3	23	3
8.455	13.375	84	3	23	4
13.59	8.485	411	3	23	5
18.935	8.645	164	3	23	6
16	8.775	310	3	23	7
13.75	8.635	681	3	23	8
16.045	8.72	590	3	23	9
13.73	8.535	706	3	23	10
29.195	8.45	571	3	23	11
20.11	16.8	170	3	23	12
15.88	15.05	170	3	23	13
9.42	14.75	262	3	23	14
7.915	15.245	171	3	23	15
7.585	18.34	231	3	23	16
8.895	19.12	1158	3	23	17
3.995	10.035	190	3	23	18
3.33	7.7	155	3	23	19
7.875	12.375	264	3	23	20
11.635	11.29	146	3	23	21
13.61	8.48	150	3	23	22
15.86	8.62	200	3	23	23
16.535	8.715	304	3	23	24
20.005	13.78	260	3	23	25
19.475	8.86	192	3	23	26
18.425	8.675	165	3	23	27
17.415	8.8	497	3	23	28
23.255	5.835	223	3	23	29
27.81	5.81	240	3	23	30
31.18	5.51	107	3	23	31
15.91	12.66	250	4	9	1
14.495	8.075	143	4	9	2
13.16	8.545	345	4	9	3
12.66	8.57	252	4	9	4
13.68	8.545	353	4	9	5
13.045	8.72	382	4	9	6
15.88	8.885	358	4	9	7
23.08	14.175	274	4	9	8
27.99	8.67	181	4	9	9
29.585	8.665	231	4	9	10
28.79	8.685	157	4	9	11
29.945	8.51	180	4	9	12
26.005	5.52	406	4	9	13
17.31	5.215	1241	4	9	14
10.935	6.55	1264	4	9	15
15.025	5.715	1724	4	9	16
14.515	8.7	136	4	9	17
11.68	15.83	212	4	9	18
9.065	19.265	303	4	9	19
8.785	18.975	960	4	9	20
13.155	19.86	43	4	9	21
22.4	22.395	214	5	16	1
18.92	13.755	160	5	16	2
13.085	6.225	217	5	16	3
13.31	9.065	593	5	16	4
16	8.885	349	5	16	5
17.115	14.255	284	5	16	6
15.595	15.67	139	5	16	7
7.675	13.585	262	5	16	8
8.4	19.555	769	5	16	9
2.51	14.07	245	5	16	10
3.805	8.705	364	5	16	11
14.61	6.635	226	5	16	12
15.49	9.26	135	5	16	13
30.09	8.685	244	5	16	14
29.195	8.955	246	5	16	15
28.27	18.07	384	5	16	16
30.9	20.74	229	5	16	17
31.73	22.22	255	5	16	18
20.095	17.26	707	5	16	19
9.405	16.6	334	5	16	20
9.155	21.115	365	5	16	21
11.435	22.695	1922	5	16	22
24.455	18.81	725	5	16	23
16.475	14.8	324	6	37	1
9.81	17.06	242	6	37	2
16.855	8.41	137	6	37	3
9.3	18.305	204	6	37	4
9.15	18.69	1085	6	37	5
9.65	18.535	402	6	37	6
15.265	8.325	223	6	37	7
13.32	9.05	1031	6	37	8
15.315	7.65	373	6	37	9
8.065	8.045	414	6	37	10
4.015	12.195	159	6	37	11
29.045	9.625	196	6	37	12
30.36	8.53	301	6	37	13
30.315	22.3	216	6	37	14
31.39	23.41	529	6	37	15
3.635	22.28	247	6	37	16
2.15	20.93	256	6	37	17
3.29	12.355	234	6	37	18
3.18	7.865	529	6	37	19
4.425	12.36	336	6	37	20
4.34	13.44	204	6	37	21
28.8	7.84	200	6	37	22
29.73	9.175	210	6	37	23
28.735	9.27	272	6	37	24
29.875	9.095	244	6	37	25
28.665	9.155	209	6	37	26
21.49	7.995	429	6	37	27
19.785	6.98	1	6	37	28
7.165	16.57	227	7	4	1
14.9	10.21	231	7	4	2
13	8.31	906	7	4	3
15.48	8.35	354	7	4	4
16.5	16.585	344	7	4	5
8.31	17.22	175	7	4	6
4.045	8.325	250	7	4	7
7.475	17.495	152	7	4	8
8.695	19.76	1492	7	4	9
4.65	18.465	331	7	4	10
3.605	6.525	254	7	4	11
5.99	7.935	275	7	4	12
7.97	8.045	291	7	4	13
25.775	7.39	238	7	4	14
29.465	8.67	1704	7	4	15
30.675	5.645	207	7	4	16
26.075	8.105	209	7	4	17
28.165	8.785	234	7	4	18
18.14	9.26	167	7	4	19
15.375	8.995	203	7	4	20
19.9	15.835	263	7	4	21
10.29	20.06	240	7	4	22
8.66	20.02	696	7	4	23
17.695	18.78	195	8	3	1
16.115	9.74	198	8	3	2
14.695	10.975	126	8	3	3
15.04	8.53	116	8	3	4
12.775	8.53	884	8	3	5
8.085	16.895	214	8	3	6
8.425	19.09	1276	8	3	7
8.405	18.68	260	8	3	8
15.285	16.135	113	8	3	9
18.195	15.26	229	8	3	10
20.67	14.74	215	8	3	11
25.13	13.245	333	8	3	12
27.2	12.53	111	8	3	13
27.245	15.26	389	8	3	14
29.235	14.46	251	8	3	15
30.59	12.04	112	8	3	16
29.385	5.58	178	8	3	17
29.11	8.395	2498	8	3	18
25.705	6	146	8	3	19
15.635	4.76	146	8	3	20
10.77	6.42	248	8	3	21
8.575	6.18	245	8	3	22
6.705	6.32	233	8	3	23
4.11	11.64	437	8	3	24
3.54	14.5	331	8	3	25
14.07	14.155	232	9	41	1
17.765	14.445	213	9	41	2
15.745	8.74	114	9	41	3
14.495	15.005	1009	9	41	4
17.865	16.31	757	9	41	5
22.38	16.71	322	9	41	6
25.51	16.91	158	9	41	7
28.355	7.89	359	9	41	8
16.63	7.885	174	9	41	9
15.14	8.4	185	9	41	10
13.265	8.3	293	9	41	11
29.275	8.475	185	9	41	12
29.995	8.55	844	9	41	13
16.745	8.65	173	9	41	14
14.365	8.36	156	9	41	15
13.15	8.39	435	9	41	16
15.77	8.37	300	9	41	17
16.59	8.5	280	9	41	18
7.485	6.695	270	9	41	19
5.155	12.825	232	9	41	20
8.655	14.245	731	9	41	21
8.415	14.6	172	9	41	22
8.63	20.85	406	9	41	23
12.03	21.72	225	9	41	24
13.36	22.71	191	9	41	25
18.73	20.39	207	9	41	26
22.865	20.105	284	9	41	27
29.24	19.915	189	9	41	28
31.7	20.68	212	9	41	29
31.355	21.845	63	9	41	30
16.885	13.625	426	10	35	1
10	15.89	206	10	35	2
8.79	19.735	1597	10	35	3
12.165	11.21	228	10	35	4
13.26	8.995	655	10	35	5
15.965	8.735	927	10	35	6
22.28	12.425	275	10	35	7
21.22	14.23	235	10	35	8
17.56	7.99	240	10	35	9
19.85	18.7	255	10	35	10
22.945	19.135	292	10	35	11
29.73	19.575	521	10	35	12
26.015	19.25	212	10	35	13
10.735	22.165	212	10	35	14
2.775	18.185	292	10	35	15
3.425	7.49	288	10	35	16
12.76	5.56	228	10	35	17
23.41	4.905	250	10	35	18
29.65	8.61	1731	10	35	19
14.94	9.32	191	10	35	20
16.19	8.715	221	10	35	21
21.735	16.525	175	11	24	1
