xpos	ypos	fdur	subj	trial	fixation
12.75	13.925	74	1	15	1
13.265	15.91	240	1	15	2
16.725	16.02	557	1	15	3
17.435	15.245	255	1	15	4
12.87	21.14	397	1	15	5
13.835	21.73	596	1	15	6
9.145	17.535	860	1	15	7
4.67	11.84	489	1	15	8
4.205	16.135	276	1	15	9
5.555	19.88	217	1	15	10
6.49	22.335	380	1	15	11
23.245	7.015	202	1	15	12
22.335	9.405	208	1	15	13
24.915	14.005	850	1	15	14
28.44	10.115	379	1	15	15
29.465	10.165	339	1	15	16
29.225	21.6	351	1	15	17
30.72	22.945	264	1	15	18
25.84	23.945	204	1	15	19
15.725	22.815	331	1	15	20
7.735	21.215	546	1	15	21
5.865	22.015	321	1	15	22
18.575	18.115	458	1	15	23
17.205	14.355	544	1	15	24
17.985	9.24	12	2	43	1
15.61	11.945	207	2	43	2
13.84	14.335	194	2	43	3
11.615	16.855	320	2	43	4
9.135	9.54	734	2	43	5
15.315	12.78	271	2	43	6
17.235	17.96	282	2	43	7
17.37	21.425	385	2	43	8
10.37	18.835	388	2	43	9
12.21	19.7	282	2	43	10
15.55	21.405	313	2	43	11
23.105	20.63	505	2	43	12
18.64	16.93	465	2	43	13
16.475	14	633	2	43	14
22.55	16.76	316	2	43	15
27.04	16.595	492	2	43	16
23.7	10.68	227	2	43	17
24.89	17.395	1071	2	43	18
23.855	7.27	539	2	43	19
24.25	10.62	587	2	43	20
18.745	15.68	627	2	43	21
10.26	19.635	210	2	43	22
6.695	20.665	205	2	43	23
4.91	19.885	9	2	43	24
14.08	9.425	232	3	28	1
14.805	11.79	167	3	28	2
8.765	11.62	186	3	28	3
15.125	11.655	215	3	28	4
16.87	9.47	234	3	28	5
18.235	12.675	579	3	28	6
15.82	13.895	267	3	28	7
10.175	13.795	233	3	28	8
10.06	10.225	257	3	28	9
16.745	11.905	193	3	28	10
17.535	15.485	250	3	28	11
18.495	13.82	130	3	28	12
13.45	17.25	151	3	28	13
7.795	16.725	263	3	28	14
6.92	14.92	221	3	28	15
4.515	12.425	177	3	28	16
11.19	8.1	273	3	28	17
15.36	16.18	205	3	28	18
21.345	15.95	275	3	28	19
26.45	17.5	928	3	28	20
26.905	15.87	391	3	28	21
27.64	7.72	144	3	28	22
30.69	3.595	131	3	28	23
13.915	7.18	140	3	28	24
11.05	7.95	393	3	28	25
9.68	2.865	252	3	28	26
8.02	1.755	129	3	28	27
8.245	8.78	367	3	28	28
2.73	14.345	402	3	28	29
2.585	13.96	238	3	28	30
5.865	14.835	241	3	28	31
12.51	15.96	215	3	28	32
17.395	17.24	263	3	28	33
18.445	16.21	207	3	28	34
15.985	16.51	166	3	28	35
11.705	23.185	68	4	23	1
13.99	21.395	165	4	23	2
16.055	14.55	312	4	23	3
15.045	8.33	283	4	23	4
10.83	7.035	293	4	23	5
15.47	8.76	296	4	23	6
20.48	9.275	327	4	23	7
22.915	8.6	183	4	23	8
23.745	12.25	506	4	23	9
28.325	10.53	324	4	23	10
29.545	15.485	358	4	23	11
25.24	14.63	241	4	23	12
12.995	7.92	332	4	23	13
11.295	7.535	387	4	23	14
13.615	9.26	763	4	23	15
17.415	15.865	885	4	23	16
9.69	16.305	424	4	23	17
15.205	14.785	831	4	23	18
17.915	16.995	958	4	23	19
18.95	17.72	257	4	23	20
24.705	13.105	192	4	23	21
22.265	12.35	131	4	23	22
12.285	8.495	136	4	23	23
10.62	7.62	359	4	23	24
14.39	9.315	98	4	23	25
18.695	16.185	311	5	11	1
16.94	11.77	185	5	11	2
10.425	7.825	1143	5	11	3
16.825	9.195	202	5	11	4
10.56	7.93	1300	5	11	5
29.42	3.965	312	5	11	6
25.475	23.655	184	5	11	7
11.675	20.775	530	5	11	8
2.02	14.405	446	5	11	9
1.87	12.36	786	5	11	10
24.77	13.52	225	5	11	11
30.59	15.965	655	5	11	12
29.52	4.605	319	5	11	13
31.255	2.755	272	5	11	14
16.055	9.395	252	5	11	15
10.295	8.54	149	5	11	16
2.175	13.265	2186	5	11	17
1.78	5.665	1	5	11	18
18.895	15.645	314	6	23	1
12.29	10.085	309	6	23	2
16.035	9.43	160	6	23	3
11.035	8.18	280	6	23	4
4.895	15.41	120	6	23	5
14.83	18.255	280	6	23	6
18.5	21.075	278	6	23	7
21.755	12.83	274	6	23	8
16.66	9.93	376	6	23	9
13.7	5.815	263	6	23	10
10.015	8.74	375	6	23	11
14.37	10.125	323	6	23	12
11.74	8.53	218	6	23	13
11.355	8.015	195	6	23	14
3.015	15.435	365	6	23	15
2.3	14.17	502	6	23	16
17.5	21.97	160	6	23	17
27.165	22.605	238	6	23	18
30.005	7.05	309	6	23	19
30.75	3.54	272	6	23	20
24.09	4.24	237	6	23	21
15.8	10.805	410	6	23	22
19.215	17.51	360	6	23	23
11.24	6.38	233	6	23	24
11.66	2.87	373	6	23	25
16.59	18.16	297	6	23	26
16.605	20.775	332	6	23	27
18.495	20.47	315	6	23	28
18.565	21.845	313	6	23	29
17.86	17.85	160	6	23	30
13.02	9.125	333	6	23	31
11.17	8.505	171	6	23	32
6.905	21.84	33	7	24	1
11.185	21.2	204	7	24	2
15.965	7.03	170	7	24	3
18.015	10.635	274	7	24	4
10.47	11.485	379	7	24	5
16.135	17.91	416	7	24	6
18.395	18.665	185	7	24	7
12.855	21.635	346	7	24	8
18.23	22.165	268	7	24	9
19.445	11.935	212	7	24	10
10.77	8.135	645	7	24	11
7.645	7.575	393	7	24	12
26.015	10.73	294	7	24	13
28.18	5.7	327	7	24	14
27.31	6.355	182	7	24	15
25	20.385	233	7	24	16
19.415	21.85	293	7	24	17
26.255	22.28	827	7	24	18
20.175	21.01	238	7	24	19
9.865	21.605	337	7	24	20
4.415	22.695	370	7	24	21
2.69	20.12	321	7	24	22
6.29	20.93	1225	7	24	23
14.455	15.735	168	7	24	24
11.535	9.98	137	7	24	25
16.265	14.475	714	7	24	26
16.315	15.185	72	8	32	1
15.285	14.47	489	8	32	2
11.685	9.24	219	8	32	3
13.33	10.67	328	8	32	4
16.83	13.12	559	8	32	5
19.385	13.525	154	8	32	6
21.295	13.385	163	8	32	7
25.035	17	625	8	32	8
24.745	13.97	1474	8	32	9
17.015	21.385	142	8	32	10
12.715	21.43	342	8	32	11
14.555	21.42	204	8	32	12
13.285	20.82	167	8	32	13
11.405	16.14	170	8	32	14
10.95	8.055	414	8	32	15
12.93	8.94	505	8	32	16
12.355	8.39	118	8	32	17
10.865	7.86	1193	8	32	18
11	14.21	13	8	32	19
11.4	17.255	289	8	32	20
9.74	17.705	178	8	32	21
8.735	19	157	8	32	22
9.715	20.815	282	8	32	23
13.145	22.44	13	8	32	24
18.48	23.06	117	8	32	25
21.9	23.415	358	8	32	26
20.375	21.155	204	8	32	27
19.165	21.58	273	8	32	28
23.905	23.155	15	8	32	29
26.76	23.385	157	8	32	30
28.46	23.24	106	8	32	31
13.485	14.625	295	9	46	1
18.015	14.35	369	9	46	2
24.405	11.54	437	9	46	3
24.98	18.49	282	9	46	4
11.845	9.105	217	9	46	5
10.995	8.245	213	9	46	6
9.005	8.49	278	9	46	7
5.27	10.775	461	9	46	8
9.715	11.835	528	9	46	9
7.685	13.64	281	9	46	10
27.18	3.885	426	9	46	11
29.3	6.215	329	9	46	12
28.455	8.2	272	9	46	13
30.6	12.59	323	9	46	14
16.08	20.4	285	9	46	15
11.97	21.17	883	9	46	16
8.68	21.16	283	9	46	17
2.965	16.89	424	9	46	18
3.585	12.595	532	9	46	19
19.76	15.13	391	9	46	20
18.415	19.335	270	9	46	21
24.545	21.855	275	9	46	22
11.71	8.14	458	9	46	23
15.415	10.46	230	9	46	24
26.605	10.29	430	9	46	25
28.36	15.105	132	9	46	26
23.2	9.985	272	10	32	1
19.755	10.615	155	10	32	2
12.225	9.34	149	10	32	3
10.71	8.13	1260	10	32	4
14.69	10.14	279	10	32	5
4.775	11.875	471	10	32	6
4.235	18.21	235	10	32	7
9.7	21.45	375	10	32	8
19.24	21.37	652	10	32	9
27.36	21.915	508	10	32	10
28.885	14.105	253	10	32	11
28.82	3.67	270	10	32	12
25.865	4.335	483	10	32	13
28.545	10.66	328	10	32	14
16.265	14.685	521	10	32	15
13.16	13.765	320	10	32	16
15.025	10.56	231	10	32	17
18.675	8.815	259	10	32	18
30.65	2.565	587	10	32	19
10.545	7.205	194	10	32	20
3.77	3.25	407	10	32	21
2.715	12.575	363	10	32	22
2.785	19.88	132	10	32	23
2.39	1.925	681	10	32	24
8.22	17.71	211	11	14	1
12.735	14.305	227	11	14	2
15.91	9.52	349	11	14	3
12.965	6.305	226	11	14	4
11.27	7.415	307	11	14	5
16.175	9.185	363	11	14	6
19	7.035	259	11	14	7
11.665	7.675	191	11	14	8
10.83	7.48	422	11	14	9
14.39	8.565	393	11	14	10
17.855	8.55	314	11	14	11
13.12	8.325	202	11	14	12
11.365	7.72	279	11	14	13
9.715	7.16	197	11	14	14
5.04	10.88	304	11	14	15
1.775	13.05	418	11	14	16
6.405	16.225	243	11	14	17
19.95	19.765	305	11	14	18
18.25	21.38	283	11	14	19
25.38	21.575	426	11	14	20
26.68	19.12	396	11	14	21
28.685	19.195	1854	11	14	22
26.79	18.565	361	11	14	23
23.575	18.445	223	11	14	24
19.215	16.475	583	11	14	25
13.465	21.655	200	12	21	1
13.595	16.895	136	12	21	2
9.63	13.75	397	12	21	3
4.925	11.27	556	12	21	4
13.275	10.195	303	12	21	5
22.37	9.9	246	12	21	6
27.06	11.075	412	12	21	7
27.9	15.31	184	12	21	8
29.24	20.135	446	12	21	9
25.865	19.03	544	12	21	10
23.76	21.64	386	12	21	11
24.045	7.22	436	12	21	12
23.795	9.545	235	12	21	13
18.695	14.86	338	12	21	14
17.185	17.11	344	12	21	15
21.335	20.27	328	12	21	16
18.83	18.345	367	12	21	17
7.87	17.695	456	12	21	18
6.77	15.62	413	12	21	19
5.34	19.65	313	12	21	20
4.56	2.955	309	12	21	21
11.445	3.92	158	12	21	22
18.365	5.75	181	12	21	23
22.07	16.945	288	12	21	24
26.95	19.67	244	12	21	25
11.22	18.225	266	12	21	26
3.36	14.89	276	12	21	27
26.035	12.94	416	12	21	28
14.98	15.13	38	12	21	29
17.47	17.615	174	13	38	1
13.07	15.695	266	13	38	2
10.41	13.6	701	13	38	3
10	18.655	559	13	38	4
9.105	17.845	229	13	38	5
17.475	15.15	670	13	38	6
21.405	19.76	422	13	38	7
24.26	20.06	205	13	38	8
26.03	19.725	210	13	38	9
27.8	16.59	883	13	38	10
25.94	16.62	258	13	38	11
20.83	16.66	189	13	38	12
18.275	16.585	421	13	38	13
12.855	19.24	262	13	38	14
8.875	20.6	549	13	38	15
7.41	20.835	464	13	38	16
6.475	20.18	791	13	38	17
5.64	19.425	861	13	38	18
5.835	13.175	306	13	38	19
6.23	10.66	177	13	38	20
10.94	7.675	489	13	38	21
17.765	8.995	201	13	38	22
18.78	10.355	144	13	38	23
19.09	17.715	178	13	38	24
10.315	13.465	579	14	12	1
4.92	12.505	294	14	12	2
2.395	13.12	185	14	12	3
4.975	12.615	199	14	12	4
7.74	18.615	282	14	12	5
11.62	20.68	316	14	12	6
13.475	7.67	184	14	12	7
11.29	7.75	639	14	12	8
13.955	9.175	257	14	12	9
15.85	15.18	220	14	12	10
14.66	18.035	108	14	12	11
11.775	19.975	803	14	12	12
4.315	19.22	516	14	12	13
11.975	4.125	489	14	12	14
9.98	3.525	219	14	12	15
5.725	5.92	248	14	12	16
10.55	6.955	155	14	12	17
28.08	4.595	337	14	12	18
25.915	4.675	160	14	12	19
28.43	12.905	223	14	12	20
29.405	21.62	204	14	12	21
24.655	23.43	147	14	12	22
18.465	22.21	247	14	12	23
12.61	21.155	238	14	12	24
5.13	12.6	260	14	12	25
2.745	12.485	306	14	12	26
5.64	3.705	402	14	12	27
10.185	3.255	556	14	12	28
12.66	2.29	332	14	12	29
25.435	2.72	134	14	12	30
20.965	18.095	283	15	2	1
20.75	15.42	157	15	2	2
14.865	8.05	313	15	2	3
11.11	7.84	1378	15	2	4
19.37	15.545	295	15	2	5
29.255	12.595	429	15	2	6
25.23	16.395	234	15	2	7
25.9	21.72	153	15	2	8
6.18	24.79	229	15	2	9
13.91	20.56	471	15	2	10
11.41	21.755	487	15	2	11
4.94	22.78	1560	15	2	12
13.59	9.385	151	15	2	13
11.22	8.32	1796	15	2	14
28.3	6.935	187	15	2	15
29.755	19.22	292	15	2	16
29.16	22.245	450	15	2	17
27.46	24.595	533	15	2	18
11.375	22.54	479	16	14	1
15.58	14.52	395	16	14	2
17.72	21.81	692	16	14	3
7.745	10.805	552	16	14	4
10.335	7.015	254	16	14	5
11.53	8	1622	16	14	6
26.04	4.205	262	16	14	7
30.525	2.92	215	16	14	8
29.64	13.8	272	16	14	9
27.975	21.65	295	16	14	10
29.74	24.095	623	16	14	11
3.46	14.4	351	16	14	12
2.6	13.765	1020	16	14	13
7.78	17.335	210	16	14	14
11.395	20.28	342	16	14	15
15.88	13.165	297	16	14	16
16.79	22.19	239	16	14	17
18.175	21.65	284	16	14	18
12.34	18.305	205	16	14	19
8.275	11.675	261	16	14	20
6.9	3.115	292	16	14	21
18.165	18.565	360	17	50	1
14.28	14.77	225	17	50	2
11.025	7.85	256	17	50	3
17.54	17.85	351	17	50	4
26.4	18.455	365	17	50	5
26.895	15.145	292	17	50	6
14.89	18.165	391	17	50	7
28.915	14.905	305	17	50	8
12.005	6.51	266	17	50	9
11.525	7.605	1094	17	50	10
23.555	7.69	222	17	50	11
12.21	8.82	1322	17	50	12
14.77	19.57	245	17	50	13
20.255	21.55	334	17	50	14
28.095	18.59	278	17	50	15
4.41	19.985	388	17	50	16
15.85	19.51	230	17	50	17
26.305	18.49	234	17	50	18
30.415	6.17	238	17	50	19
11.435	8.88	490	17	50	20
13.15	18.31	81	17	50	21
21.705	20.12	537	17	50	22
23.59	20.805	274	17	50	23
29.6	22.18	288	17	50	24
7.145	19.005	280	18	2	1
9.81	17.885	259	18	2	2
17.685	21.22	410	18	2	3
11.915	7.78	677	18	2	4
8.63	5.455	294	18	2	5
10.945	2.545	227	18	2	6
12.96	2.235	717	18	2	7
16.26	12.48	238	18	2	8
19	18.57	514	18	2	9
11.1	19.555	387	18	2	10
18.27	21.765	454	18	2	11
20.835	20.03	903	18	2	12
18.205	15.505	480	18	2	13
15.765	10.37	375	18	2	14
11.355	8.465	239	18	2	15
6.12	13.725	287	18	2	16
8.05	18.56	243	18	2	17
10.34	22.095	210	18	2	18
18.135	21.645	159	18	2	19
24.92	20.275	268	18	2	20
22.85	19.79	207	18	2	21
24.33	18.95	195	18	2	22
20.355	18.605	348	18	2	23
25.155	12.955	294	18	2	24
26.195	14.155	894	18	2	25
13.51	11.575	359	19	17	1
15.58	10.06	212	19	17	2
13.25	7.1	257	19	17	3
4.535	5.905	360	19	17	4
12.025	7.775	707	19	17	5
18.87	8.895	261	19	17	6
25.95	13.98	431	19	17	7
24.745	18.95	380	19	17	8
14.32	16.685	313	19	17	9
5.175	15.955	465	19	17	10
2.285	19.355	410	19	17	11
5.6	21.095	378	19	17	12
9.165	19.62	240	19	17	13
14.97	20.805	251	19	17	14
17.515	20.975	363	19	17	15
18.615	19.965	256	19	17	16
20.7	14.91	696	19	17	17
22.685	6.765	432	19	17	18
29.16	3.235	420	19	17	19
25.62	4.31	246	19	17	20
13.425	3.035	223	19	17	21
12.12	2.925	198	19	17	22
11.135	7.275	1219	19	17	23
2.76	3.785	249	19	17	24
