xpos	ypos	fdur	subj	trial	fixation
8.305	16.98	219	1	21	1
16.56	16.865	266	1	21	2
14.555	15.055	394	1	21	3
7.575	13.6	244	1	21	4
5.695	18.92	283	1	21	5
24.3	19.09	248	1	21	6
26.7	21.89	229	1	21	7
15.165	22.645	305	1	21	8
4.905	22.53	299	1	21	9
18.355	6.895	250	1	21	10
23.39	9.175	328	1	21	11
18.47	2.64	265	1	21	12
4.705	10.37	238	1	21	13
7.455	14.02	486	1	21	14
7.32	18.44	284	1	21	15
4	15.375	202	1	21	16
23.42	11.495	250	1	21	17
22.79	9.51	241	1	21	18
18.565	16.455	726	1	21	19
28.675	11.79	288	1	21	20
30.52	14.955	25	1	21	21
27.33	21.085	299	1	21	22
27.64	23.095	196	1	21	23
15.885	23.675	280	1	21	24
4.795	23.225	319	1	21	25
11.57	13.585	320	1	21	26
15.105	13.875	309	1	21	27
18	7.355	303	1	21	28
19.89	3.035	278	1	21	29
18.435	5.88	181	1	21	30
17.235	7.265	250	1	21	31
14.785	14.83	319	2	20	1
12.82	15.545	384	2	20	2
21.35	14.455	244	2	20	3
19.275	17.57	597	2	20	4
15.615	14.065	283	2	20	5
13.33	14.41	659	2	20	6
16.875	14.26	613	2	20	7
18.135	17.61	241	2	20	8
17.525	20.835	397	2	20	9
24.05	18.65	865	2	20	10
20.07	18.65	580	2	20	11
17.03	20.765	369	2	20	12
11.465	17.82	502	2	20	13
10.055	9.985	363	2	20	14
18.36	8.055	398	2	20	15
19.92	11.155	394	2	20	16
21.6	16.42	282	2	20	17
23.365	18.305	335	2	20	18
25.27	19.545	377	2	20	19
20.28	21.68	298	2	20	20
23.865	19.95	228	2	20	21
23.745	13.76	267	2	20	22
23.455	17.53	325	2	20	23
19.86	12.425	187	3	16	1
13.24	10.565	132	3	16	2
10.62	13.34	190	3	16	3
16.815	7.73	188	3	16	4
20.145	6.145	146	3	16	5
23.48	15.09	210	3	16	6
23.29	17.54	183	3	16	7
18.21	19.485	195	3	16	8
9.835	15.19	229	3	16	9
10.255	12.285	153	3	16	10
11.635	12.755	306	3	16	11
9.42	13.935	275	3	16	12
11.92	14.59	143	3	16	13
8.7	14.765	203	3	16	14
13.345	14.785	221	3	16	15
18.305	16.4	196	3	16	16
22.385	17.075	287	3	16	17
23.665	17.775	193	3	16	18
19.775	17.28	201	3	16	19
11.295	9.64	280	3	16	20
