xpos	ypos	fdur	subj	trial	fixation
10.345	15.4	217	1	29	1
12.875	16.635	250	1	29	2
17.61	14.71	285	1	29	3
17.045	10.975	439	1	29	4
16.53	13.4	163	1	29	5
15.14	17.885	571	1	29	6
16.075	14.88	286	1	29	7
24.18	9.115	439	1	29	8
26.205	13.285	225	1	29	9
23.99	15.81	263	1	29	10
22.915	19.56	780	1	29	11
15.345	16.71	287	1	29	12
11.13	12.735	171	1	29	13
3.705	13.065	264	1	29	14
3.86	15.69	292	1	29	15
4.71	16.95	218	1	29	16
12.38	10.415	480	1	29	17
18.9	4.3	390	1	29	18
17.54	4.875	167	1	29	19
15.32	18.465	414	1	29	20
23.945	18.925	378	1	29	21
23.15	17.305	378	1	29	22
24.12	13.8	279	1	29	23
23.495	9.39	254	1	29	24
24.24	10.405	636	1	29	25
28.55	13.395	333	1	29	26
29.37	13.175	359	1	29	27
14.07	13.41	140	2	13	1
11.835	15.74	155	2	13	2
11.28	17.95	323	2	13	3
6.76	14.485	350	2	13	4
5.585	12.885	405	2	13	5
17.285	11.05	438	2	13	6
15.795	12.87	203	2	13	7
14.86	18.155	363	2	13	8
21.145	19.695	196	2	13	9
22.44	20.38	705	2	13	10
19.275	17.44	270	2	13	11
24.405	7.04	325	2	13	12
23.44	8.365	202	2	13	13
23.105	9.56	510	2	13	14
21.07	10.145	432	2	13	15
19.85	14.35	641	2	13	16
14.355	13.23	516	2	13	17
13.075	13.705	538	2	13	18
7.925	10.965	515	2	13	19
7.705	13.585	391	2	13	20
25.91	15.03	174	2	13	21
29.425	17.105	610	2	13	22
18.15	18.18	317	2	13	23
14.21	19.21	500	2	13	24
7.85	15.545	70	2	13	25
27.345	5.115	158	3	8	1
17.085	7.07	115	3	8	2
13.885	11.755	157	3	8	3
13.38	17.54	215	3	8	4
16.605	14.32	160	3	8	5
14.245	9.055	169	3	8	6
11.04	8.805	210	3	8	7
14.1	12.66	206	3	8	8
20.545	10.09	190	3	8	9
23.55	4.625	275	3	8	10
24.88	6.335	153	3	8	11
23.575	9.4	211	3	8	12
22.57	15.57	154	3	8	13
21.87	20.765	231	3	8	14
13.63	19.665	193	3	8	15
13.88	9.51	199	3	8	16
9.135	8.345	181	3	8	17
14.91	12.655	198	3	8	18
16.09	13.39	124	3	8	19
14.14	19.82	230	3	8	20
14.44	18.335	115	3	8	21
6.99	14.74	374	3	8	22
3.97	14.425	219	3	8	23
4.19	19.82	215	3	8	24
13.645	17.565	174	3	8	25
17.155	13.06	149	3	8	26
18.875	16.21	208	3	8	27
19.335	17.35	200	3	8	28
18.54	10.565	164	3	8	29
14.38	13.75	208	3	8	30
13.935	18.97	238	3	8	31
10.845	17.885	422	3	8	32
14.45	9.73	415	3	8	33
14.69	12.055	166	3	8	34
17.85	15.37	192	3	8	35
20.485	17.505	211	3	8	36
22.31	19.33	195	3	8	37
12.11	16.23	198	3	8	38
6.915	13.895	221	3	8	39
4.555	16.015	183	3	8	40
7.51	15.415	355	3	8	41
16.54	15.2	262	3	8	42
15.16	15.975	330	4	55	1
14.345	19.91	217	4	55	2
6.855	15.335	226	4	55	3
18	10.3	262	4	55	4
23.83	10.405	150	4	55	5
23.315	19.51	226	4	55	6
28.75	16.89	289	4	55	7
28.82	11.74	282	4	55	8
23.915	5.195	218	4	55	9
18.91	10.39	185	4	55	10
17.12	6.17	440	4	55	11
16.045	10.18	244	4	55	12
11.86	8.81	424	4	55	13
15.53	13.065	443	4	55	14
10.105	7.715	346	4	55	15
9.05	14.725	229	4	55	16
12.475	19.34	234	4	55	17
18.32	17.63	182	4	55	18
20.33	17.31	732	4	55	19
22.975	21.42	1134	4	55	20
19.085	9.86	2276	4	55	21
25.31	16.065	295	5	10	1
15.65	15.66	252	5	10	2
7.68	13.995	358	5	10	3
15.635	6.095	187	5	10	4
21.75	1.735	265	5	10	5
17.955	4.11	345	5	10	6
16.69	5.57	181	5	10	7
10.795	12.13	660	5	10	8
12.275	17.95	421	5	10	9
8.085	16.81	232	5	10	10
3.065	19.43	566	5	10	11
17.515	19.115	214	5	10	12
10.045	18.475	256	5	10	13
3.285	19.325	288	5	10	14
3.88	15.745	409	5	10	15
27.815	16.82	252	5	10	16
20.765	18.88	266	5	10	17
12.185	17.755	274	5	10	18
3.475	15.705	215	5	10	19
16.74	5.88	349	5	10	20
8.815	6.18	418	5	10	21
11.685	7.265	214	5	10	22
15.215	11.705	723	5	10	23
9	14.225	224	5	10	24
3.495	16.925	1121	5	10	25
14.805	12.89	222	5	10	26
15.685	21.565	262	6	1	1
16.095	16.385	176	6	1	2
17.625	10.44	184	6	1	3
17.83	18.485	424	6	1	4
18.55	9.64	192	6	1	5
16.415	15.35	264	6	1	6
14.69	20.285	487	6	1	7
13.66	11.215	155	6	1	8
14.85	18.045	197	6	1	9
17.61	10.97	218	6	1	10
16.32	13.475	1135	6	1	11
14.805	19.105	622	6	1	12
15.175	18.64	1163	6	1	13
15.455	14.26	651	6	1	14
15.125	16.675	852	6	1	15
17.84	22	247	6	1	16
22.735	21.31	566	6	1	17
14.27	18.835	193	6	1	18
8.06	15.025	532	6	1	19
17.275	14.145	850	6	1	20
16.685	20.96	68	6	1	21
10.085	14.37	182	7	9	1
13.325	14.3	170	7	9	2
20.475	8.98	281	7	9	3
22.205	17.095	231	7	9	4
22.685	21.82	218	7	9	5
19.83	5.415	457	7	9	6
13.67	14.55	224	7	9	7
13.26	18.055	233	7	9	8
9.955	9.015	352	7	9	9
13.185	13.55	13	7	9	10
14.375	12.65	209	7	9	11
15.91	21.11	217	7	9	12
23.235	22.035	162	7	9	13
20.775	15.4	227	7	9	14
21.03	5.05	503	7	9	15
18.185	5.785	166	7	9	16
26.08	6.245	527	7	9	17
10.765	7.36	234	7	9	18
16.675	11.405	209	7	9	19
22.14	23.945	558	7	9	20
9.6	19.755	166	7	9	21
3.28	19.375	538	7	9	22
4.22	6.505	319	7	9	23
3.55	4.205	130	7	9	24
20.185	4.875	188	7	9	25
25.84	4.055	214	7	9	26
29.28	5.045	327	7	9	27
26.685	23.975	341	7	9	28
30.98	23.275	491	7	9	29
21.345	15.525	248	7	9	30
20.27	10.515	292	7	9	31
22.285	7.77	217	7	9	32
16.375	5.145	118	7	9	33
19.59	13.01	223	8	5	1
16.035	11.31	160	8	5	2
13.86	13.635	142	8	5	3
13.165	18.735	143	8	5	4
14.325	19.74	258	8	5	5
17.485	0.855	161	8	5	6
18.3	4.195	279	8	5	7
21.585	5.005	382	8	5	8
17.21	6.425	201	8	5	9
9.06	8.85	219	8	5	10
7.12	11.925	220	8	5	11
10.045	13.44	216	8	5	12
14.405	13.45	365	8	5	13
15.52	9.475	221	8	5	14
13.04	10.445	329	8	5	15
9.935	11.235	223	8	5	16
8.375	11.485	162	8	5	17
7.155	12.41	315	8	5	18
16.185	9.66	117	8	5	19
23.41	7.295	280	8	5	20
21.385	10.665	159	8	5	21
21.695	16.835	89	8	5	22
21.94	21.09	622	8	5	23
12.36	17.305	162	8	5	24
9.855	16.9	237	8	5	25
6.595	14.13	307	8	5	26
4.835	12.76	299	8	5	27
10.585	11.05	145	8	5	28
15.275	12.495	366	8	5	29
14.25	15.39	172	8	5	30
13.905	17.575	394	8	5	31
20.675	3.255	191	8	5	32
22.605	6.65	231	8	5	33
21.26	3.905	235	8	5	34
19.63	4.175	502	8	5	35
17.905	4.21	168	8	5	36
26.735	16	127	8	5	37
14.5	13.96	248	9	31	1
18.26	15.345	326	9	31	2
15.435	18.085	760	9	31	3
8.78	17.18	239	9	31	4
23.15	17.39	190	9	31	5
22.695	20.11	287	9	31	6
20	17.7	300	9	31	7
19.57	11.595	73	9	31	8
21.435	18.585	962	9	31	9
22.975	18.415	200	9	31	10
29.965	17.345	263	9	31	11
23.87	7.555	591	9	31	12
17.09	7.505	329	9	31	13
9.775	14.365	206	9	31	14
7.48	14.14	277	9	31	15
4.015	17.395	268	9	31	16
