xpos	ypos	fdur	subj	trial	fixation
11.485	16.51	246	1	34	1
14.505	15.77	246	1	34	2
16.475	12.38	311	1	34	3
11.84	9.01	400	1	34	4
12.155	12.7	599	1	34	5
15.47	6.18	351	1	34	6
18.27	18.51	212	1	34	7
20.315	22.69	451	1	34	8
18.465	9.66	505	1	34	9
16.215	12.08	399	1	34	10
7.625	10.87	337	1	34	11
7.09	13.295	271	1	34	12
10.45	15.8	389	1	34	13
14.78	9.65	348	1	34	14
20.76	9.315	319	1	34	15
24.245	9.95	411	1	34	16
25.25	12.07	278	1	34	17
25.63	14.365	306	1	34	18
23.36	21.41	260	1	34	19
12.295	22.84	315	1	34	20
11.595	19.41	384	1	34	21
8.855	14.72	466	1	34	22
7.67	12.83	520	1	34	23
11.295	6.685	361	1	34	24
12.26	7.205	232	1	34	25
15.95	3.67	268	1	34	26
16.315	5.105	6	1	34	27
11.09	11.6	400	2	21	1
11.965	19.26	435	2	21	2
13.055	10.215	589	2	21	3
16.585	12.145	381	2	21	4
16.415	16.295	556	2	21	5
19.265	15.3	220	2	21	6
15.015	9.635	381	2	21	7
11.125	8.36	457	2	21	8
13.83	8.85	1401	2	21	9
19.575	6.83	1460	2	21	10
21.485	13.865	324	2	21	11
20.795	19.56	605	2	21	12
16.175	18.91	285	2	21	13
11.905	18.965	589	2	21	14
10.645	16.54	445	2	21	15
12.71	14.525	518	2	21	16
14.625	13.16	442	2	21	17
15.42	10.36	16	2	21	18
16.08	10.645	204	3	10	1
13.75	15.125	251	3	10	2
11.375	14.19	127	3	10	3
11.595	8.265	241	3	10	4
12.03	13.89	122	3	10	5
11.41	20.045	230	3	10	6
14.375	15.865	182	3	10	7
12.51	13.585	156	3	10	8
11.905	17.36	209	3	10	9
7.17	15.17	208	3	10	10
4.82	10.725	161	3	10	11
14.075	10.26	169	3	10	12
18.69	11.385	155	3	10	13
15.445	17.085	251	3	10	14
13.31	14.815	149	3	10	15
12.61	18.775	201	3	10	16
8.78	15.035	172	3	10	17
11.105	13.345	232	3	10	18
12.315	11.92	196	3	10	19
13.285	14.605	155	3	10	20
17.09	18.13	156	3	10	21
24.53	18.29	169	3	10	22
28.595	17.845	182	3	10	23
25.11	19.56	58	3	10	24
9.785	20.51	126	3	10	25
3.505	14.35	150	3	10	26
6.76	21.345	207	3	10	27
12.74	21.865	211	3	10	28
10.725	18.92	223	3	10	29
12.66	21.38	191	3	10	30
13.69	22.66	265	3	10	31
19.285	20.245	216	3	10	32
13.465	19.055	182	3	10	33
13.815	20.935	198	3	10	34
14.365	22.19	150	3	10	35
24.575	20.495	168	3	10	36
14.205	20.105	219	3	10	37
12.45	16.75	193	3	10	38
15.26	18.835	145	3	10	39
12.555	19.47	190	3	10	40
15.805	18.99	247	3	10	41
13.395	19.245	196	3	10	42
14.65	17.355	160	3	10	43
10.51	14.385	206	3	10	44
10.58	17.46	236	3	10	45
11.435	18.925	162	3	10	46
18.335	16.85	211	3	10	47
15.99	19.295	186	4	27	1
14.83	13.295	286	4	27	2
16.105	10.915	202	4	27	3
22.935	9.47	398	4	27	4
24.785	6.45	333	4	27	5
17.29	4.56	258	4	27	6
24.895	6.195	296	4	27	7
27.36	7.65	415	4	27	8
24.8	9.59	355	4	27	9
27.745	11.955	324	4	27	10
20.65	14.04	140	4	27	11
15.94	19.7	159	4	27	12
11.875	20.28	253	4	27	13
16.145	16.2	217	4	27	14
7.75	12.34	369	4	27	15
9.385	11.21	233	4	27	16
7.415	6.245	317	4	27	17
10.055	6.81	250	4	27	18
10.76	7.275	286	4	27	19
16.605	5.83	555	4	27	20
22.545	6.585	258	4	27	21
26.755	7.46	341	4	27	22
22.44	11.125	367	4	27	23
23.45	10.22	279	4	27	24
22.125	19.585	191	4	27	25
13.74	20.98	181	4	27	26
23.52	24.05	245	4	27	27
18.32	19.69	330	4	27	28
25.175	24.25	410	4	27	29
27.105	22.92	280	4	27	30
12.13	23.275	115	4	27	31
27.115	22	232	5	34	1
17.09	13.645	165	5	34	2
20.445	8.975	176	5	34	3
10.81	8.61	197	5	34	4
8.725	19.425	95	5	34	5
7.605	23.37	449	5	34	6
7.41	16.265	201	5	34	7
7.915	8.035	362	5	34	8
6.235	5.465	216	5	34	9
15.975	2.985	229	5	34	10
17.215	8.705	221	5	34	11
13.8	9.745	347	5	34	12
16.155	11.355	252	5	34	13
9.715	9.16	155	5	34	14
8.02	24.62	404	5	34	15
7.44	20.36	305	5	34	16
18.69	22.52	153	5	34	17
24.975	24.59	257	5	34	18
21.315	20.96	174	5	34	19
8.54	21.895	148	5	34	20
7.41	23.87	824	5	34	21
9.935	23.07	147	5	34	22
17.37	8.255	444	5	34	23
15.235	9.35	278	5	34	24
14.66	2.07	253	5	34	25
13.245	5.515	120	5	34	26
10.265	8.915	213	5	34	27
3.3	7.95	154	5	34	28
9.06	13.275	255	5	34	29
14.905	16.155	186	5	34	30
23.355	16.835	519	5	34	31
27.585	16.58	159	5	34	32
24.905	24.64	367	5	34	33
16.215	18.725	307	5	34	34
16.24	16.315	385	6	4	1
19.445	10.635	295	6	4	2
13.885	20.375	244	6	4	3
15.665	23.85	172	6	4	4
24.26	24.68	328	6	4	5
26.515	23.125	291	6	4	6
28.19	7.84	357	6	4	7
15.61	6.475	266	6	4	8
8.66	9.45	338	6	4	9
8.215	16.63	185	6	4	10
7.37	19.295	238	6	4	11
11.86	19.455	285	6	4	12
21.14	23.035	376	6	4	13
24.76	14.83	374	6	4	14
25.585	10.855	366	6	4	15
14.445	10.025	185	6	4	16
11.83	18.68	252	6	4	17
11.505	19.905	398	6	4	18
13.15	23.16	223	6	4	19
21.015	24.395	220	6	4	20
19.88	13.805	276	6	4	21
17.56	14.09	2143	6	4	22
17.775	17.335	252	6	4	23
18.875	22.675	146	6	4	24
23.745	24.055	729	6	4	25
8.51	6.98	145	7	2	1
12.305	12.995	236	7	2	2
14.045	18.925	289	7	2	3
12.16	22.085	216	7	2	4
11.48	23.825	278	7	2	5
6.335	24.935	276	7	2	6
3.965	24.84	393	7	2	7
7.005	24.77	273	7	2	8
8.925	24.34	727	7	2	9
23.625	24.31	204	7	2	10
22.725	15.195	272	7	2	11
21.845	10.565	313	7	2	12
13.485	9.215	289	7	2	13
8.385	9.28	314	7	2	14
4.15	9.665	1065	7	2	15
13.17	1.82	232	7	2	16
14.79	2.015	159	7	2	17
10.09	6.895	1138	7	2	18
21.985	4.135	346	7	2	19
20.855	6.265	365	7	2	20
25.655	10.275	352	7	2	21
24.765	11.92	501	7	2	22
17.84	15.625	322	7	2	23
10.84	20.105	699	7	2	24
19.94	5.62	5	8	24	1
17.985	9.68	221	8	24	2
14.95	14.015	241	8	24	3
15.18	10.5	251	8	24	4
14.94	7.745	314	8	24	5
12.185	7.04	329	8	24	6
10.48	13.425	282	8	24	7
13.605	13.065	185	8	24	8
16.66	10.105	254	8	24	9
18.48	7.1	543	8	24	10
13.4	11.785	207	8	24	11
11.915	17.695	370	8	24	12
14.11	8.435	314	8	24	13
14.45	5.735	161	8	24	14
18.23	5.905	246	8	24	15
14.99	4.43	427	8	24	16
11.25	18.18	176	8	24	17
9.66	21.795	407	8	24	18
10.415	19.675	189	8	24	19
8.265	19.67	399	8	24	20
7.59	23.095	369	8	24	21
18.19	11.655	431	8	24	22
18.275	8.955	268	8	24	23
9.96	20.73	202	8	24	24
8.795	21.945	291	8	24	25
11.1	19.395	482	8	24	26
21.73	8.48	120	8	24	27
23.955	7.02	200	8	24	28
25.745	7.3	231	8	24	29
27.445	10.465	249	8	24	30
27.07	18.335	219	8	24	31
26.405	20.255	200	8	24	32
23.56	24.19	361	8	24	33
12.63	13.615	259	9	12	1
14.645	11.385	328	9	12	2
18.14	15.835	282	9	12	3
24.02	17.42	239	9	12	4
17.88	3.48	376	9	12	5
12.56	8.975	258	9	12	6
