xpos	ypos	fdur	subj	trial	fixation
12.985	15.74	329	1	17	1
13.365	14.225	230	1	17	2
13.51	18.72	300	1	17	3
17.165	13.5	292	1	17	4
23.415	13.405	485	1	17	5
13.265	13.14	287	1	17	6
8.74	13.64	667	1	17	7
7.005	17.315	203	1	17	8
4.785	19.705	485	1	17	9
21.79	19.85	196	1	17	10
27.21	17.82	258	1	17	11
29.145	13.155	294	1	17	12
22.23	13.13	275	1	17	13
12.435	12.425	412	1	17	14
10.945	12.385	234	1	17	15
4.84	9.74	488	1	17	16
8.41	16.56	124	1	17	17
22.025	5.245	219	1	17	18
16.05	3.555	220	1	17	19
13.19	19.24	225	1	17	20
11.515	23.545	163	1	17	21
16.455	3.25	434	1	17	22
15.75	7.71	299	1	17	23
9.095	19.61	168	1	17	24
15.615	7.975	202	1	17	25
16.025	9.525	314	1	17	26
16.945	9.65	210	1	17	27
17.71	8.45	987	1	17	28
16.065	8.125	1	1	17	29
18.415	14.82	136	2	46	1
14.735	15.06	239	2	46	2
12.83	16.455	248	2	46	3
12.595	18.765	322	2	46	4
27.155	15.97	385	2	46	5
25.545	17.785	317	2	46	6
17.575	7.37	174	2	46	7
17.255	8.215	265	2	46	8
16.11	8.76	313	2	46	9
10.67	7.66	320	2	46	10
9.25	5.005	504	2	46	11
16.295	7.6	593	2	46	12
15.895	13.52	424	2	46	13
14.8	20.435	1361	2	46	14
18.36	20.055	747	2	46	15
23.345	19.91	586	2	46	16
17.38	21.275	616	2	46	17
21.32	21.075	676	2	46	18
13.905	18.78	275	2	46	19
10.89	14.485	469	2	46	20
8.59	8.1	319	2	46	21
13.015	7.935	32	2	46	22
17.255	15.38	34	3	7	1
15.41	11.52	215	3	7	2
10.33	11.965	160	3	7	3
11.46	15.3	252	3	7	4
16.95	12.425	173	3	7	5
18.425	10.11	262	3	7	6
17.325	3.565	208	3	7	7
16.83	2.49	136	3	7	8
19.115	11.705	191	3	7	9
22.25	13.91	219	3	7	10
15.925	15.945	257	3	7	11
12.645	17.335	267	3	7	12
7.435	15.315	263	3	7	13
6.145	16.79	233	3	7	14
14.555	14.565	256	3	7	15
14.76	17.19	171	3	7	16
22.755	16.745	185	3	7	17
27.33	15.59	217	3	7	18
19.595	14.71	192	3	7	19
12.37	13.38	195	3	7	20
6.33	12.335	255	3	7	21
8.315	14.03	276	3	7	22
12.58	12.72	357	3	7	23
9.305	13.92	251	3	7	24
11.93	12.74	248	3	7	25
14.245	11.815	293	3	7	26
14.04	9.805	244	3	7	27
13.34	11.85	226	3	7	28
20.025	12.15	157	3	7	29
18.645	16.72	199	3	7	30
18.64	19.07	164	3	7	31
24.41	18.535	183	3	7	32
20.94	11.275	193	3	7	33
11.705	10.29	157	3	7	34
4.955	9.825	258	3	7	35
16.33	9.5	201	3	7	36
17.67	9.71	195	3	7	37
16.45	5.295	160	3	7	38
26.9	3.29	396	3	7	39
20.135	6.35	262	3	7	40
17.395	8.28	169	3	7	41
21.32	21.065	49	4	54	1
17.48	17.905	244	4	54	2
15.79	10.645	379	4	54	3
17.485	8.72	621	4	54	4
21.285	12.37	1034	4	54	5
21.7	15.965	4624	4	54	6
14.375	15.915	491	4	54	7
10.575	18.33	158	4	54	8
13.195	21.605	204	4	54	9
18.095	21.315	82	4	54	10
25.765	20.9	299	4	54	11
28.78	15.51	135	4	54	12
23.035	13.685	141	4	54	13
18.57	4.95	332	4	54	14
17.35	4.515	56	4	54	15
16.98	7.94	271	4	54	16
16.055	9.595	293	4	54	17
9.7	9.21	234	5	25	1
17.455	4.27	376	5	25	2
17.41	13.225	290	5	25	3
14.97	14.24	477	5	25	4
22.175	16.02	221	5	25	5
23.84	19.635	377	5	25	6
25.635	11.425	384	5	25	7
17.69	9.805	441	5	25	8
20.71	9.925	440	5	25	9
17.36	8.985	296	5	25	10
13.095	12.065	357	5	25	11
12.18	12.45	267	5	25	12
15.14	13.065	412	5	25	13
11.98	17.475	231	5	25	14
8.675	19.52	285	5	25	15
14.84	19.635	242	5	25	16
24.665	17.33	286	5	25	17
25.135	20.74	392	5	25	18
13.995	21.795	307	5	25	19
6.815	20.92	408	5	25	20
16.885	20.19	199	5	25	21
25.78	19.685	462	5	25	22
30.48	19.16	592	5	25	23
17.685	20.3	360	5	25	24
25.4	18.585	981	5	25	25
16.425	17.27	300	6	2	1
13.575	12.265	226	6	2	2
17.23	19.725	436	6	2	3
17.92	7.33	181	6	2	4
17.475	3.565	164	6	2	5
17.7	9.775	360	6	2	6
8.93	13.43	256	6	2	7
7.88	18.975	213	6	2	8
25.21	12.365	93	6	2	9
25.32	22.415	584	6	2	10
27.095	17.785	555	6	2	11
20.76	18.145	358	6	2	12
17.325	17.85	247	6	2	13
10.35	19.6	406	6	2	14
18.48	16.695	283	6	2	15
26.335	9.16	363	6	2	16
28.065	6.04	199	6	2	17
17	4.245	358	6	2	18
10.675	18.2	233	6	2	19
9.15	22.385	410	6	2	20
13.385	17.165	478	6	2	21
21.59	14.995	545	6	2	22
14.685	5.71	312	6	2	23
15.965	8.985	223	6	2	24
26.22	12.985	492	6	2	25
27.13	19.535	229	6	2	26
28.805	23.405	254	6	2	27
10.685	19.605	247	6	2	28
8.9	13.045	71	6	2	29
26.06	16.795	129	7	27	1
17.32	14.93	107	7	27	2
15.44	11.395	423	7	27	3
14.04	20.165	372	7	27	4
16.295	20.655	258	7	27	5
19.645	19.775	194	7	27	6
21.77	13.515	157	7	27	7
23.625	23.225	1013	7	27	8
19.015	12.855	171	7	27	9
14.215	7.095	235	7	27	10
13.785	8.495	279	7	27	11
11.975	9.91	238	7	27	12
10.305	20.22	249	7	27	13
5.765	22.775	536	7	27	14
11.295	13.815	218	7	27	15
11.965	7.96	388	7	27	16
11.005	12.23	159	7	27	17
13.74	13.65	264	7	27	18
19.595	21.37	2632	7	27	19
21.735	14.545	71	7	27	20
25.435	4.475	562	7	27	21
21.555	10.63	298	7	27	22
24.75	13.675	229	7	27	23
26.575	15.685	48	7	27	24
27.025	8.12	165	7	27	25
23.505	17.2	0	8	52	1
21.575	16.455	188	8	52	2
16.285	9.69	673	8	52	3
16.385	8.06	127	8	52	4
15.71	13.325	509	8	52	5
19.07	13.965	188	8	52	6
21.585	13.255	730	8	52	7
22.73	14.205	561	8	52	8
15.1	5.18	357	8	52	9
15.54	8.225	127	8	52	10
15.37	13.115	782	8	52	11
17.205	15.32	911	8	52	12
16.575	11.855	89	8	52	13
16.045	7.29	561	8	52	14
15.865	5.255	202	8	52	15
15.43	11.695	337	8	52	16
15.55	7.795	655	8	52	17
18.43	11.785	559	8	52	18
20.075	12.55	93	8	52	19
22.905	12.575	336	8	52	20
20.325	12.59	144	8	52	21
9.245	8.595	452	8	52	22
12.9	10.94	274	8	52	23
14.165	15.965	535	8	52	24
17.725	13.175	64	8	52	25
16.325	14.015	368	9	17	1
14.31	18.05	233	9	17	2
8.51	16.915	425	9	17	3
12.82	18.7	301	9	17	4
24.025	17.665	831	9	17	5
25.245	14.75	605	9	17	6
23.325	14.065	345	9	17	7
23.165	10.32	535	9	17	8
19.32	14.68	249	9	17	9
14.265	15.03	447	9	17	10
9.075	8.79	294	9	17	11
14.74	4.75	402	9	17	12
16.195	7.84	239	9	17	13
28.25	5.085	514	9	17	14
24.405	7.83	195	9	17	15
17.16	17.53	202	9	17	16
11.755	17.19	550	9	17	17
8.22	18.035	420	9	17	18
13.305	20.715	486	9	17	19
8.77	20.63	270	9	17	20
24.33	19.94	759	9	17	21
26.14	21.555	155	9	17	22
19.395	9.58	390	9	17	23
17.445	4.74	140	9	17	24
26.965	11.565	46	10	5	1
24.19	12.86	590	10	5	2
12.495	14.805	223	10	5	3
9.05	16.35	272	10	5	4
7.49	20.345	221	10	5	5
6.36	23.305	194	10	5	6
7.375	17.355	200	10	5	7
8.335	12.985	181	10	5	8
14.08	4.92	255	10	5	9
16.56	3.605	153	10	5	10
16.375	10.74	232	10	5	11
17.545	9.815	339	10	5	12
16.02	8.72	511	10	5	13
7.475	12.005	347	10	5	14
4.95	5.73	199	10	5	15
4.735	3.12	126	10	5	16
13.295	11.425	222	10	5	17
19.645	18.045	340	10	5	18
21.485	14.57	172	10	5	19
27.53	18.445	200	10	5	20
27.745	23.005	295	10	5	21
23.4	16.53	222	10	5	22
20.405	12.94	222	10	5	23
25.36	5.215	241	10	5	24
28.59	2.57	247	10	5	25
28.085	5.465	260	10	5	26
16.96	9.645	273	10	5	27
13.7	11.9	149	10	5	28
17.7	9.835	548	10	5	29
17.63	9.56	460	10	5	30
8.865	11.035	257	10	5	31
7.2	11.375	231	10	5	32
4.305	4.005	437	10	5	33
17.21	3.145	500	10	5	34
19.385	12.105	228	11	26	1
12.615	11.475	408	11	26	2
12.445	16.215	192	11	26	3
11.49	19.215	214	11	26	4
15.545	10.285	414	11	26	5
15.295	6.34	186	11	26	6
15.91	7.7	397	11	26	7
14.93	8.415	410	11	26	8
16.21	8.87	575	11	26	9
20.515	10.13	836	11	26	10
23.425	10.49	261	11	26	11
30.01	11.205	468	11	26	12
28.53	12.18	712	11	26	13
27.11	16.915	337	11	26	14
7.93	15.915	339	11	26	15
7.105	7.87	309	11	26	16
5.385	11.285	371	11	26	17
4.31	18.255	288	11	26	18
4.86	22.44	357	11	26	19
9.01	18.86	637	11	26	20
11.52	9.34	369	11	26	21
15.79	6.075	286	11	26	22
15.935	8.375	671	11	26	23
13.75	9.87	131	11	26	24
13.755	12.35	348	12	39	1
23.63	15.445	189	12	39	2
26.84	21.05	273	12	39	3
11.335	20.885	325	12	39	4
3.65	21.785	466	12	39	5
10.075	3.36	338	12	39	6
12.805	7.22	139	12	39	7
16.585	7.515	330	12	39	8
17.1	9.44	202	12	39	9
7.94	10.945	496	12	39	10
9.19	12.145	327	12	39	11
14.05	12.3	227	12	39	12
16.28	14.63	269	12	39	13
19.855	15.11	233	12	39	14
23.145	14.92	353	12	39	15
24.85	14.435	303	12	39	16
21.405	14.2	242	12	39	17
14.92	8.155	592	12	39	18
4.955	9.745	213	12	39	19
6.6	18.735	353	12	39	20
23.32	19.13	348	12	39	21
26.635	6.08	101	12	39	22
26.035	18.975	581	12	39	23
22.9	18.205	188	12	39	24
26.865	22.975	508	12	39	25
13.215	20.57	341	12	39	26
10.345	22.695	263	12	39	27
21.455	13.065	648	12	39	28
6.36	21.58	298	13	3	1
