xpos	ypos	fdur	subj	trial	fixation
17.315	15.615	0	1	43	1
13.37	15.915	256	1	43	2
14.49	12.83	257	1	43	3
16.415	15.995	519	1	43	4
24.64	19.025	340	1	43	5
18.74	9.275	393	1	43	6
17.75	9.52	208	1	43	7
9.805	4.675	266	1	43	8
8.685	2.68	184	1	43	9
17.485	3.05	624	1	43	10
12.63	2.235	315	1	43	11
6.08	9.01	77	1	43	12
7.005	14.265	190	1	43	13
7.49	15.965	471	1	43	14
8.51	14.69	241	1	43	15
9.205	12.23	270	1	43	16
8.24	10.395	437	1	43	17
3.69	1.955	325	1	43	18
2.22	2.585	157	1	43	19
7.23	14.225	375	1	43	20
9.36	15.71	369	1	43	21
4.325	13.43	399	1	43	22
9.885	18.24	254	1	43	23
21.245	18.725	227	1	43	24
28.18	20.325	346	1	43	25
19.335	18.125	268	1	43	26
17.85	17.435	320	1	43	27
16.195	12.53	380	1	43	28
11.955	7.09	409	1	43	29
23.915	7.945	247	1	43	30
25.24	14.465	138	2	40	1
17.125	12.945	184	2	40	2
15.21	13.355	175	2	40	3
7.735	14.975	190	2	40	4
6.915	16.905	343	2	40	5
20.52	16.89	279	2	40	6
24.975	16.285	190	2	40	7
19	17.7	237	2	40	8
18.195	17.935	368	2	40	9
24.375	19.24	486	2	40	10
28.07	18.005	335	2	40	11
25.44	17.025	578	2	40	12
26.64	18.87	617	2	40	13
22.145	17.345	241	2	40	14
18.035	15.465	204	2	40	15
10.445	6.905	540	2	40	16
9.35	8.59	338	2	40	17
9.67	11.225	386	2	40	18
10.325	13.03	477	2	40	19
13.185	13.76	428	2	40	20
17.02	14.675	518	2	40	21
21.14	15.565	337	2	40	22
19.56	15.21	888	2	40	23
14.97	14.12	934	2	40	24
24.84	16.73	214	3	1	1
17.96	12.885	117	3	1	2
14.455	6.38	163	3	1	3
9.82	11.22	138	3	1	4
8.115	14.86	259	3	1	5
18.935	15.82	198	3	1	6
22.16	13.44	154	3	1	7
19.885	4.605	227	3	1	8
11.115	2.625	194	3	1	9
8.33	11.15	163	3	1	10
8.345	14.655	297	3	1	11
9.97	11.92	176	3	1	12
13.895	11.37	149	3	1	13
20.755	13.71	181	3	1	14
23.505	16.825	263	3	1	15
23.885	17.695	256	3	1	16
26.415	18.18	171	3	1	17
28.015	17.17	102	3	1	18
14.375	11.13	163	3	1	19
8.24	8.855	246	3	1	20
7.935	11.045	220	3	1	21
13.025	11.98	117	3	1	22
