xpos	ypos	fdur	subj	trial	fixation
15.675	6.935	109	1	23	1
13.08	15.5	475	1	23	2
13.29	17.79	591	1	23	3
9.075	15.415	381	1	23	4
13.73	16.31	273	1	23	5
23.225	15.945	513	1	23	6
24.875	15.91	1462	1	23	7
21.855	15.545	297	1	23	8
16.61	16.165	232	1	23	9
11.42	16.945	277	1	23	10
12.795	14.54	438	1	23	11
6.565	15.58	192	1	23	12
5.105	18.8	510	1	23	13
11.9	17.73	303	1	23	14
18.965	14.54	318	1	23	15
23.34	13.23	279	1	23	16
28.575	13.685	451	1	23	17
13.795	7.765	360	1	23	18
27.43	14.085	440	1	23	19
14.245	16.415	205	1	23	20
5.93	17.035	277	1	23	21
5.485	19.055	248	1	23	22
10.585	19.115	226	1	23	23
21.105	19.375	215	1	23	24
10.525	4.225	17	1	23	25
13.435	19.745	219	2	18	1
14.98	15.305	239	2	18	2
10.405	13.95	587	2	18	3
7.475	13.21	875	2	18	4
10.32	13.55	398	2	18	5
13.25	13.615	408	2	18	6
16.23	16.11	431	2	18	7
21.2	15.325	309	2	18	8
25.33	15.495	857	2	18	9
21.755	14.63	1357	2	18	10
21.715	16.615	257	2	18	11
16.255	17.675	290	2	18	12
10.7	18.095	287	2	18	13
4.62	19.31	554	2	18	14
3.99	16.4	990	2	18	15
10.805	16.63	213	2	18	16
15.495	16.215	512	2	18	17
16.58	14.985	600	2	18	18
18.05	14.64	171	2	18	19
13.465	10.725	250	3	13	1
15.155	12.765	148	3	13	2
15.44	15.605	146	3	13	3
23.105	15.595	245	3	13	4
21.395	10.225	161	3	13	5
21.52	15.05	114	3	13	6
10.725	16.015	207	3	13	7
8.46	12.345	322	3	13	8
14.46	11.05	181	3	13	9
18.445	9.035	166	3	13	10
18.5	13.185	151	3	13	11
16.99	16.865	154	3	13	12
6.755	17.925	284	3	13	13
9.98	14.485	260	3	13	14
10.425	12.635	190	3	13	15
15.945	10.715	222	3	13	16
22.99	9.45	158	3	13	17
22.54	16.705	327	3	13	18
23.88	15.365	156	3	13	19
16.04	13.955	276	3	13	20
13.625	8.51	143	3	13	21
12.03	13.27	231	3	13	22
6.905	12.535	236	3	13	23
12.755	8.57	212	3	13	24
2.875	4.45	213	3	13	25
3.145	11.46	170	3	13	26
4.97	17.265	264	3	13	27
4.04	18.46	153	3	13	28
17.65	15.43	193	3	13	29
15.155	11.605	146	3	13	30
17.09	13.83	227	3	13	31
20.895	11.325	144	3	13	32
27.985	3.545	159	3	13	33
31.275	1.5	188	3	13	34
25.78	7.86	128	3	13	35
22.405	15.555	341	3	13	36
22.4	18.69	163	3	13	37
25.925	20.69	310	3	13	38
17.115	17.9	166	3	13	39
9.555	15.295	318	3	13	40
6.56	14.84	223	3	13	41
5.055	18.03	268	3	13	42
4.15	18.775	39	3	13	43
16.235	15.935	0	4	45	1
15.875	15.555	202	4	45	2
19.175	13.855	187	4	45	3
12.515	13.765	295	4	45	4
10.11	12.54	188	4	45	5
17.86	15.545	167	4	45	6
24.115	15.37	291	4	45	7
20.97	13.86	178	4	45	8
15.43	14.425	298	4	45	9
10.9	12.155	287	4	45	10
6.63	11.89	265	4	45	11
7.46	12.675	343	4	45	12
9.66	16.445	198	4	45	13
14.73	17.535	337	4	45	14
17.255	16.77	283	4	45	15
21.515	15.8	261	4	45	16
24.35	15.9	362	4	45	17
25.46	16.07	3148	4	45	18
23.005	13.385	151	4	45	19
20.07	11.95	255	4	45	20
9.48	11.91	215	4	45	21
7.405	12.62	170	4	45	22
8.41	15.945	203	4	45	23
6.83	18.125	272	4	45	24
11.41	17.94	207	4	45	25
13.65	18.635	215	4	45	26
18.55	18.43	143	4	45	27
9.435	11.47	256	5	17	1
17.87	15.095	474	5	17	2
19.035	17.865	595	5	17	3
26.355	14.025	249	5	17	4
29.07	17.285	566	5	17	5
29.185	14.075	236	5	17	6
17.33	6.7	202	5	17	7
7.18	11.1	284	5	17	8
5.8	13.675	253	5	17	9
4.47	19.195	564	5	17	10
10.34	17.915	261	5	17	11
13.385	20.38	950	5	17	12
15.98	15.26	216	5	17	13
18.075	6.115	326	5	17	14
26.225	3.085	236	5	17	15
30.58	4.315	217	5	17	16
16.605	15.505	488	5	17	17
15.1	15.58	622	5	17	18
18.945	15.14	527	5	17	19
26.03	14.245	260	5	17	20
30.82	14.18	483	5	17	21
10.65	13.265	713	5	17	22
17.165	13.6	389	5	17	23
19.79	17.82	234	6	38	1
14.195	15.595	323	6	38	2
15.06	10.615	113	6	38	3
16.44	16.345	216	6	38	4
6.23	18.22	306	6	38	5
14.21	15.14	360	6	38	6
4.555	18.63	221	6	38	7
3.865	19.065	343	6	38	8
21.555	17.875	323	6	38	9
24.74	15.805	208	6	38	10
19.27	7.66	262	6	38	11
11.635	7.7	183	6	38	12
8.61	10.835	166	6	38	13
7.76	12.305	270	6	38	14
14.975	14.48	289	6	38	15
15.395	16.065	870	6	38	16
22.715	17.69	479	6	38	17
28.56	13.385	231	6	38	18
22.505	8.87	335	6	38	19
11.965	10.19	258	6	38	20
16.29	16.335	220	6	38	21
8.22	15.99	205	6	38	22
7.925	12.25	228	6	38	23
6.645	12.755	493	6	38	24
13.955	12.895	174	6	38	25
28.95	13.555	406	6	38	26
27.475	13.78	292	6	38	27
18.04	16.475	367	6	38	28
6.215	19.25	217	6	38	29
4.87	19.21	253	6	38	30
3.75	18.995	279	6	38	31
7.715	19.5	1	6	38	32
28.14	14.9	128	7	8	1
17.875	15.325	182	7	8	2
12.09	14.89	261	7	8	3
9.255	13.775	151	7	8	4
9.41	19.69	148	7	8	5
4.55	20.15	677	7	8	6
3.745	16.94	220	7	8	7
15.37	16.275	335	7	8	8
15.33	12.555	306	7	8	9
25.85	16.5	617	7	8	10
22.695	16.94	656	7	8	11
19.765	17.94	671	7	8	12
22.875	16.445	219	7	8	13
7.53	13.8	303	7	8	14
14.14	15.42	639	7	8	15
15.32	12.225	261	7	8	16
17.71	9.82	250	7	8	17
20.765	7.54	264	7	8	18
21.5	12.545	156	7	8	19
20.6	17.44	690	7	8	20
14.425	19.885	211	7	8	21
6.83	20.47	156	7	8	22
4.8	20.445	692	7	8	23
22.99	19.71	142	7	8	24
28.545	19.505	982	7	8	25
28.05	16.575	11	7	8	26
19.23	11.125	144	8	6	1
15.26	15.57	222	8	6	2
15.085	16.69	150	8	6	3
7.54	15.295	152	8	6	4
5.15	13.81	353	8	6	5
8.135	17.505	365	8	6	6
5.39	19.35	228	8	6	7
9.955	19.41	275	8	6	8
3.09	19.435	977	8	6	9
3.28	19.575	294	8	6	10
17.865	16.96	203	8	6	11
23.415	16.48	285	8	6	12
23.33	12.9	124	8	6	13
17.345	10.865	200	8	6	14
17.02	7.365	121	8	6	15
5.33	7.56	93	8	6	16
4.295	9.855	104	8	6	17
4.64	12.075	282	8	6	18
6.205	12.415	161	8	6	19
15.33	15	795	8	6	20
17.465	15.665	194	8	6	21
24.11	15.525	194	8	6	22
26.775	15.955	176	8	6	23
28.135	16.06	744	8	6	24
25.415	15.93	613	8	6	25
24.25	15.96	400	8	6	26
21.31	17.435	390	8	6	27
22	17.07	327	8	6	28
15.42	13.7	158	8	6	29
11.995	14.075	240	8	6	30
14.08	14.595	236	8	6	31
12.82	17.275	284	9	16	1
15.26	14.94	277	9	16	2
22.225	15.385	407	9	16	3
22.66	11.93	569	9	16	4
26.345	4.605	473	9	16	5
17.57	7.35	457	9	16	6
8.47	10.31	559	9	16	7
8.385	8.085	88	9	16	8
8	12.675	755	9	16	9
15.22	16.035	364	9	16	10
19.175	16.87	882	9	16	11
25.33	14.935	1238	9	16	12
25.07	6.165	386	9	16	13
26.665	3.1	289	9	16	14
20.56	16.475	301	9	16	15
9.255	16.91	452	9	16	16
8.745	15.15	316	9	16	17
7.015	5.595	473	9	16	18
14.9	5.1	385	9	16	19
22.385	6.025	431	9	16	20
25.335	14.535	103	9	16	21
23.235	6.065	267	10	27	1
23.46	14.39	138	10	27	2
10.11	16.075	290	10	27	3
8.065	15.105	178	10	27	4
4.83	17.77	269	10	27	5
3.765	16.635	243	10	27	6
4.545	12.845	312	10	27	7
4.375	11.175	222	10	27	8
19.735	14.72	181	10	27	9
23.63	16.015	402	10	27	10
15.56	17.455	201	10	27	11
12.655	19.59	192	10	27	12
4.56	19.875	537	10	27	13
4.915	15.93	338	10	27	14
2.73	14.77	200	10	27	15
15.28	14.825	797	10	27	16
20.745	15.565	292	10	27	17
25.77	15.575	531	10	27	18
28.14	15.66	302	10	27	19
30.135	12.965	192	10	27	20
27	7.015	171	10	27	21
29.905	2.445	329	10	27	22
24.975	1.715	221	10	27	23
18.82	4.16	145	10	27	24
17.34	8.27	283	10	27	25
9.78	7.19	506	10	27	26
5.33	7.355	241	10	27	27
7.78	4.935	232	10	27	28
4.945	10.275	309	10	27	29
3.175	8.56	185	10	27	30
15.37	12.39	498	10	27	31
18.44	13.595	138	10	27	32
18.705	15.91	271	11	7	1
13.17	15.06	206	11	7	2
8.055	17.225	274	11	7	3
5.315	19.985	377	11	7	4
10.97	15.8	208	11	7	5
11.78	9.325	253	11	7	6
19.755	5.34	338	11	7	7
21.495	10.995	237	11	7	8
26.02	14.925	241	11	7	9
24.045	13.82	663	11	7	10
26.725	14.13	752	11	7	11
21.05	10.715	169	11	7	12
13.44	9.93	165	11	7	13
7.735	6.62	236	11	7	14
14.815	3.235	295	11	7	15
9.395	16.575	216	11	7	16
5.395	18.535	310	11	7	17
16.28	18.295	206	11	7	18
24.595	17.565	212	11	7	19
28.995	16.68	677	11	7	20
29.855	16.435	269	11	7	21
29.13	16.945	704	11	7	22
24.195	15.21	274	11	7	23
18.815	7.945	290	11	7	24
13.05	7.02	226	11	7	25
9.4	11.72	442	11	7	26
13.26	14.345	412	11	7	27
16.4	15.6	141	11	7	28
21.48	15.08	207	12	8	1
10.47	13.62	412	12	8	2
8.84	12.49	469	12	8	3
16.21	11.51	310	12	8	4
21.26	11.465	185	12	8	5
24.62	12.065	274	12	8	6
23.87	15.63	274	12	8	7
22.195	17.305	246	12	8	8
8.63	16.17	426	12	8	9
5.65	15.715	377	12	8	10
10.56	14.99	199	12	8	11
14.33	14.665	345	12	8	12
4.355	14.515	391	12	8	13
6.935	16.425	189	12	8	14
12.1	18.205	157	12	8	15
17.11	19.05	474	12	8	16
19.385	15.11	206	12	8	17
23.23	7.84	156	12	8	18
18.68	4.215	234	12	8	19
26.625	16.785	256	12	8	20
25.71	19.325	268	12	8	21
20.645	19.935	202	12	8	22
11.17	19.04	257	12	8	23
7.56	17.37	623	12	8	24
11.875	16.095	396	12	8	25
14.93	16.615	576	12	8	26
8.37	17.235	559	12	8	27
11.16	16.675	506	12	8	28
19.92	21.21	133	13	19	1
13.16	16.895	234	13	19	2
10.54	13.8	218	13	19	3
8.82	12.925	237	13	19	4
6.27	13.56	162	13	19	5
6.69	17.16	396	13	19	6
4.865	13.145	297	13	19	7
4.325	11.845	224	13	19	8
17.775	16.42	278	13	19	9
20.13	16.83	313	13	19	10
15.715	16.17	748	13	19	11
15.505	8.66	293	13	19	12
20.855	7.945	119	13	19	13
26.785	10.3	143	13	19	14
27.74	15.8	414	13	19	15
25.2	16.175	559	13	19	16
23.08	18.06	1041	13	19	17
15.67	18.91	214	13	19	18
11.535	18.435	309	13	19	19
7.58	19.345	356	13	19	20
5.06	19.685	236	13	19	21
14.15	18.785	157	13	19	22
22.46	18.555	164	13	19	23
28.265	19.705	200	13	19	24
30.08	20.785	185	13	19	25
21.805	22.48	106	13	19	26
14.99	22.44	124	13	19	27
6.5	16.985	509	13	19	28
12.175	16.12	424	13	19	29
