xpos	ypos	fdur	subj	trial	fixation
10.39	15.65	206	1	49	1
16.025	16.36	188	1	49	2
14.465	15.145	336	1	49	3
12.81	18.625	168	1	49	4
14.68	15.56	530	1	49	5
14.43	8.515	430	1	49	6
14.125	9.91	533	1	49	7
16.045	4.63	452	1	49	8
20.455	4.025	146	1	49	9
28.32	12.795	490	1	49	10
24.065	10.255	442	1	49	11
20.47	16.75	485	1	49	12
14.735	15.56	680	1	49	13
4.49	19.58	657	1	49	14
6.415	21.965	180	1	49	15
17.485	21.915	271	1	49	16
18.78	21.05	175	1	49	17
21.365	15.185	306	1	49	18
20.12	14.635	289	1	49	19
19.695	12.79	292	1	49	20
18.81	12.245	527	1	49	21
17.42	10.595	332	1	49	22
15.605	9.955	449	1	49	23
13.485	9.73	176	1	49	24
11.65	10.155	523	1	49	25
9.615	12.57	74	1	49	26
10.74	13.72	218	2	15	1
14.845	14.71	764	2	15	2
16.92	14.12	215	2	15	3
19.985	13.63	482	2	15	4
15.765	9.68	409	2	15	5
21.535	7.4	298	2	15	6
23.75	13.46	179	2	15	7
23.485	17.805	521	2	15	8
29.205	17.24	484	2	15	9
14.37	15.33	141	2	15	10
11.025	14.64	157	2	15	11
14.75	15.005	1075	2	15	12
20.135	15.24	721	2	15	13
12.59	17.665	444	2	15	14
11.575	17.195	876	2	15	15
8.46	10.19	430	2	15	16
12.015	13.305	167	2	15	17
14.515	15.15	1221	2	15	18
14.23	15	521	2	15	19
19	13.115	152	2	15	20
14.33	14.39	508	3	27	1
17.655	10.73	211	3	27	2
16.915	7.445	211	3	27	3
15.53	5.57	147	3	27	4
15.21	14.2	157	3	27	5
14.795	15.44	315	3	27	6
12.545	13.425	113	3	27	7
6.59	9.04	244	3	27	8
4.945	6.34	239	3	27	9
9.855	5.52	315	3	27	10
15.995	5.205	122	3	27	11
23.2	6.19	193	3	27	12
26.54	9.645	195	3	27	13
28.31	12.575	257	3	27	14
27.195	16.71	181	3	27	15
19.465	19.345	165	3	27	16
12.88	15.32	186	3	27	17
7.48	13.155	151	3	27	18
13.905	14.93	154	3	27	19
14.715	15.225	323	3	27	20
10.32	9.12	234	3	27	21
13.485	12.05	171	3	27	22
14.5	15.03	387	3	27	23
15.215	14.43	143	3	27	24
19.175	10.62	198	3	27	25
22.32	7.305	132	3	27	26
15.685	10.67	151	3	27	27
14.8	15.085	188	3	27	28
14.445	15.215	480	3	27	29
15.035	15.1	125	3	27	30
11.025	11.855	258	3	27	31
14.16	14.325	498	3	27	32
15.455	14.01	160	3	27	33
14.605	14.765	353	3	27	34
13.655	11.72	225	3	27	35
11.73	9.595	177	3	27	36
13.965	12.695	170	3	27	37
14.815	7.16	35	3	27	38
15.915	3.93	611	3	27	39
19.99	3.84	8	3	27	40
15.625	14.97	257	4	35	1
19.695	13.095	361	4	35	2
14.045	14.655	163	4	35	3
14.825	14.68	99	4	35	4
22.875	13.74	307	4	35	5
23.86	19.73	313	4	35	6
16.465	16.44	167	4	35	7
14.955	14.97	898	4	35	8
14.205	9.535	333	4	35	9
15.265	14.63	359	4	35	10
14.97	15.3	831	4	35	11
14.63	11.62	288	4	35	12
18.235	11.66	308	4	35	13
22.775	19.95	347	4	35	14
27.88	13.51	303	4	35	15
27.75	8.945	277	4	35	16
19.03	3.65	309	4	35	17
17.695	2.645	629	4	35	18
12.725	4.93	195	4	35	19
15.255	10.32	158	4	35	20
16.285	19.345	272	4	35	21
21.97	15.89	462	4	35	22
23.875	19.86	723	4	35	23
28.81	17.05	389	4	35	24
23.825	14.71	220	4	35	25
14.91	15.93	34	4	35	26
12.29	17.655	246	5	13	1
14.76	15.075	1279	5	13	2
18.755	10.775	283	5	13	3
14.66	15.285	601	5	13	4
9.39	12.885	275	5	13	5
3.23	19.68	207	5	13	6
14.27	15.155	373	5	13	7
22.075	13.665	262	5	13	8
12.145	7.345	708	5	13	9
8.665	18.155	251	5	13	10
2.44	21.91	176	5	13	11
1.75	24.305	709	5	13	12
12.45	20.845	178	5	13	13
24.6	13.385	253	5	13	14
28.75	3.675	462	5	13	15
26.68	4.19	371	5	13	16
28.695	12.895	196	5	13	17
27.84	22.02	270	5	13	18
20.595	23.59	292	5	13	19
25.77	14.755	325	5	13	20
22.015	15.44	408	5	13	21
19.655	16.4	575	5	13	22
24.44	14.67	599	5	13	23
20.92	12.185	192	6	19	1
16.415	15.52	195	6	19	2
14.985	15.255	403	6	19	3
14.22	8.91	106	6	19	4
14.7	15.665	268	6	19	5
14.97	15.38	715	6	19	6
20.925	20.445	385	6	19	7
15.07	15.265	1078	6	19	8
14.52	15.3	300	6	19	9
15.04	15.02	727	6	19	10
9.165	20.105	222	6	19	11
3.835	20.28	168	6	19	12
13.445	21.58	382	6	19	13
25.975	21.095	246	6	19	14
25.95	15.59	362	6	19	15
23.48	11.9	290	6	19	16
15.015	15.305	938	6	19	17
14.205	12.285	313	6	19	18
12.93	9.79	326	6	19	19
8.44	7.19	198	6	19	20
23.225	13.27	266	6	19	21
22.265	13.785	300	6	19	22
23.835	5.78	329	6	19	23
22.615	10	355	6	19	24
24.63	4.93	315	6	19	25
8.3	16.335	265	7	17	1
12.3	16.065	177	7	17	2
15.325	16.16	266	7	17	3
19.41	18.405	223	7	17	4
21.105	17.95	142	7	17	5
15.245	16.055	944	7	17	6
17.68	6.705	176	7	17	7
5.05	3.07	427	7	17	8
8.635	7.195	635	7	17	9
24.56	10.56	244	7	17	10
27.13	13.205	197	7	17	11
21.295	17.64	267	7	17	12
23.52	24.045	262	7	17	13
27.9	23.23	91	7	17	14
30.78	24.37	439	7	17	15
16.88	18.475	205	7	17	16
14.635	15.975	434	7	17	17
12.535	21.69	396	7	17	18
3.725	21.455	1048	7	17	19
14.16	15.93	1904	7	17	20
24.415	10.705	389	7	17	21
27.535	7.965	199	7	17	22
24.015	10.68	1	7	17	23
17.46	18.245	189	8	19	1
17.565	13.87	266	8	19	2
14.72	14.81	391	8	19	3
15.735	14.21	159	8	19	4
14.51	15.065	675	8	19	5
10.215	5.615	268	8	19	6
11.655	6.795	236	8	19	7
17.405	7.825	205	8	19	8
13.695	10.21	365	8	19	9
19.695	8.72	291	8	19	10
23.125	4.45	263	8	19	11
23.805	14.245	219	8	19	12
22.515	14.58	384	8	19	13
25.145	20.805	331	8	19	14
27.72	10.07	172	8	19	15
27.725	7.995	209	8	19	16
26.31	3.66	80	8	19	17
19.415	1.8	137	8	19	18
10.21	2.565	198	8	19	19
7.14	2.205	203	8	19	20
4.795	2.565	206	8	19	21
5.935	16.225	127	8	19	22
7.07	20.14	355	8	19	23
10.185	20.835	185	8	19	24
14.15	20.76	93	8	19	25
17.96	22.195	603	8	19	26
19.995	19.575	68	8	19	27
23.76	13.36	513	8	19	28
26.25	13.45	346	8	19	29
28.605	13.08	356	8	19	30
28.65	6.22	288	8	19	31
27.565	5.135	269	8	19	32
25.75	4.82	206	8	19	33
25.42	7.08	311	8	19	34
13.68	16.21	300	9	5	1
19.38	13.735	257	9	5	2
22.265	15.055	448	9	5	3
20.87	14.78	605	9	5	4
25.195	12.505	450	9	5	5
27.71	10.115	373	9	5	6
28.405	8.48	161	9	5	7
14.91	15.11	740	9	5	8
18.56	18.575	187	9	5	9
22.905	19.915	245	9	5	10
26.675	20.54	190	9	5	11
9.22	19.65	176	9	5	12
3.75	18.605	264	9	5	13
2.895	17.76	156	9	5	14
5.495	4.915	252	9	5	15
10.39	3.54	302	9	5	16
17.79	4.455	342	9	5	17
25.42	4.81	372	9	5	18
27.18	9.07	309	9	5	19
18.855	14.665	177	9	5	20
14.905	15.06	176	9	5	21
26.485	17.14	677	9	5	22
28.14	12.845	402	9	5	23
26.98	10.125	451	9	5	24
12.425	14.58	219	9	5	25
14.885	15.015	991	9	5	26
14.68	15.825	791	10	51	1
18.87	12.97	218	10	51	2
24.525	10.495	319	10	51	3
23.055	16.115	334	10	51	4
24.195	18.875	357	10	51	5
22.92	21.55	218	10	51	6
25.02	15.275	427	10	51	7
14.5	14.95	678	10	51	8
12.58	22.225	194	10	51	9
14.545	15.065	425	10	51	10
5.58	14.125	179	10	51	11
3.84	4.865	457	10	51	12
12.525	16.805	328	10	51	13
14.865	15.495	293	10	51	14
22.025	9.07	419	10	51	15
22.72	5.045	403	10	51	16
22.89	9.155	155	10	51	17
25.705	20.32	311	10	51	18
18.265	23.74	212	10	51	19
6.745	20.935	259	10	51	20
3.805	11.44	500	10	51	21
3.42	24.24	552	10	51	22
5.895	23.665	381	10	51	23
13.05	21.895	333	10	51	24
16.215	18.195	213	10	51	25
20.745	15.23	345	10	51	26
21.495	13.11	57	10	51	27
28.755	15.14	317	11	1	1
17.285	13.855	209	11	1	2
13.835	14.17	160	11	1	3
14.545	15.11	506	11	1	4
10.6	13.515	191	11	1	5
5.705	4.875	447	11	1	6
8.135	3.76	442	11	1	7
13.45	14.04	161	11	1	8
14.295	14.97	507	11	1	9
15.08	14.785	977	11	1	10
13.835	15.47	90	11	1	11
7.47	23.6	304	11	1	12
12.275	22.405	382	11	1	13
21.485	20.63	172	11	1	14
27.725	17.38	268	11	1	15
28.505	13.925	459	11	1	16
25.655	8.88	416	11	1	17
23.515	4.415	304	11	1	18
16.105	10.84	390	11	1	19
10.21	6.945	275	11	1	20
6.68	5.14	295	11	1	21
8.55	5.615	196	11	1	22
10.18	14.45	239	11	1	23
14.635	14.975	701	11	1	24
18.385	15.24	291	11	1	25
21.41	15.635	616	11	1	26
5.04	10.775	231	12	3	1
15.565	11.845	211	12	3	2
15.49	15.61	311	12	3	3
14.755	15.46	279	12	3	4
11.415	20.045	379	12	3	5
14.8	14.785	349	12	3	6
15.335	9.835	109	12	3	7
14.695	14.705	875	12	3	8
15.09	14.91	607	12	3	9
25.535	11.875	362	12	3	10
26.64	19.15	499	12	3	11
9.145	19.15	197	12	3	12
4.165	21.28	404	12	3	13
4.335	2.705	209	12	3	15
11.25	5.51	365	12	3	16
18.72	5.52	236	12	3	17
24.595	9.46	299	12	3	18
24.3	15.555	377	12	3	19
25.52	18.48	543	12	3	20
14.87	14.92	533	12	3	21
14.675	20.685	392	12	3	22
6.315	20.89	395	12	3	23
3.785	20.77	867	12	3	24
11.99	14.31	268	13	11	1
13.65	16.195	276	13	11	2
15.86	15.435	205	13	11	3
19.36	14.66	1376	13	11	4
20.45	17.235	230	13	11	5
21.69	15.45	205	13	11	6
15.29	14.47	254	13	11	7
11.78	11.855	188	13	11	8
11.005	10.46	259	13	11	9
10.205	7.42	232	13	11	10
9.875	5.515	434	13	11	11
21.965	4.68	558	13	11	12
27.04	11	717	13	11	13
19.035	13.975	209	13	11	14
14.82	15	459	13	11	15
10.37	18.855	698	13	11	16
3.26	20.45	500	13	11	17
12.545	23.04	298	13	11	18
21.25	20.34	245	13	11	19
22.57	18.15	552	13	11	20
26.625	16.72	371	13	11	21
26.95	12.515	315	13	11	22
26.035	20.195	418	13	11	23
17.5	17.91	208	13	11	24
14.425	16.06	40	13	11	25
10.845	19.48	264	14	18	1
12.565	16.8	153	14	18	2
14.675	15.295	307	14	18	3
19.455	14.865	288	14	18	4
22.005	17.405	294	14	18	5
14.395	15.4	1148	14	18	6
17.435	17.72	311	14	18	7
21.475	13.76	363	14	18	8
27.005	8.195	314	14	18	9
27.85	15.195	127	14	18	10
23.815	17.27	182	14	18	11
24.76	23.975	470	14	18	12
9.855	22.055	137	14	18	13
4.805	20.445	382	14	18	14
3.48	21.12	681	14	18	15
7.21	2.8	692	14	18	16
18.265	3.425	184	14	18	17
22.285	8.03	265	14	18	18
27.325	8.015	174	14	18	19
28.535	18.21	147	14	18	20
28.63	23.155	173	14	18	21
12.75	19.97	145	14	18	22
6.88	7.705	306	14	18	23
8.015	1.205	325	14	18	24
7.49	3.345	266	14	18	25
16.89	13.52	181	14	18	26
14.58	15.115	603	14	18	27
10.085	19.065	342	14	18	28
7.155	18.25	206	15	15	1
9.98	19.29	357	15	15	2
3.78	20.99	252	15	15	3
15.36	15.46	254	15	15	4
14.715	15.425	1666	15	15	5
27.2	11.39	291	15	15	6
28.23	21.285	292	15	15	7
26.25	16.92	437	15	15	8
25.7	8.115	275	15	15	9
26.995	3.045	321	15	15	10
28.125	3.655	162	15	15	11
19.49	4.06	469	15	15	12
24.23	4.2	160	15	15	13
15.51	6.285	183	15	15	14
2.91	3.74	271	15	15	15
7.015	7.565	155	15	15	16
14.965	16.815	149	15	15	17
14.65	15.3	1029	15	15	18
14.145	15.71	223	15	15	19
15.26	15.325	393	15	15	20
21.29	13.035	303	15	15	21
20.99	13.695	226	15	15	22
14.655	15.19	648	15	15	23
4.89	21.935	579	15	15	24
25.37	6.99	156	16	12	1
21.285	8.81	254	16	12	2
20.995	10.505	364	16	12	3
15.465	14.74	261	16	12	4
14.53	15.375	525	16	12	5
13.32	15.08	253	16	12	6
14.715	15.43	589	16	12	7
7.35	3.5	286	16	12	8
6.11	2.35	427	16	12	9
5.24	17.24	206	16	12	10
3.55	18.415	262	16	12	11
3.22	21.77	170	16	12	12
3.335	23.865	330	16	12	13
6.185	23.5	310	16	12	14
12.06	21.645	250	16	12	15
13.205	22.275	214	16	12	16
14.72	15.34	508	16	12	17
24.695	10.91	354	16	12	18
24.69	13.37	200	16	12	19
24.005	15.44	333	16	12	20
27.985	10.345	280	16	12	21
27.58	20.185	396	16	12	22
28.66	21.675	413	16	12	23
29.37	5.23	284	16	12	24
26.655	5.7	186	16	12	25
17.815	3.47	278	16	12	26
13.86	3.74	181	16	12	27
6.94	3.235	148	16	12	28
7.69	17.885	563	16	12	29
8.28	5.475	69	16	12	30
24.68	21.45	237	17	26	1
22.895	17.02	197	17	26	2
15.815	13.625	272	17	26	3
14.925	14.5	155	17	26	4
19.105	22.365	188	17	26	5
15.655	15.7	151	17	26	6
14.765	14.955	177	17	26	7
28.02	21.905	324	17	26	8
24.58	12.055	210	17	26	9
21.415	12.145	302	17	26	10
11.64	19.06	216	17	26	11
4.145	15.59	217	17	26	12
15.02	15.045	2088	17	26	13
28.305	13.06	337	17	26	14
24.395	5.115	356	17	26	15
17.46	7.215	174	17	26	16
13.445	15.755	303	17	26	17
18.72	18.69	385	17	26	18
5.985	6.095	419	17	26	19
8.875	6.925	331	17	26	20
18.275	16.91	325	17	26	21
26.955	23.56	348	17	26	22
17.77	14.92	233	17	26	23
14.95	15.075	723	17	26	24
2.87	19.075	283	17	26	25
13.98	21.67	122	17	26	26
11.02	10.975	298	18	31	1
14.13	14.615	248	18	31	2
15.655	14.5	168	18	31	3
20.255	11.6	347	18	31	4
22.605	14.69	422	18	31	5
26.755	11.545	349	18	31	6
21.29	7.145	135	18	31	7
14.79	15.13	2198	18	31	8
9.93	14	451	18	31	9
12.92	13.995	152	18	31	10
14.79	15.05	1132	18	31	11
18.47	14.685	352	18	31	12
16.815	4.935	1454	18	31	13
20.32	10.845	177	18	31	14
22.06	12.7	455	18	31	15
23.63	17.09	711	18	31	16
26.495	17.035	414	18	31	17
20.305	16.685	240	18	31	18
15.76	5.705	203	19	6	1
14.175	12.385	280	19	6	2
16.9	12.89	316	19	6	3
12.34	18.005	368	19	6	4
14.44	15.09	533	19	6	5
17.61	13.005	213	19	6	6
22.165	10.295	315	19	6	7
24.935	10.56	307	19	6	8
18.485	17.145	233	19	6	9
14.27	15.9	308	19	6	10
10.575	18.86	474	19	6	11
13.785	16.34	700	19	6	12
10.095	6.73	561	19	6	13
14.125	4.805	255	19	6	14
24.67	2.91	170	19	6	15
27.36	3.405	199	19	6	16
28.265	9.41	359	19	6	17
26.83	8.79	318	19	6	18
27.935	17.955	355	19	6	19
28.135	23.385	302	19	6	20
15.34	22.26	277	19	6	21
13.535	20.365	361	19	6	22
14.52	15.605	1933	19	6	23
15.14	14.44	395	20	29	1
18.37	13.525	467	20	29	2
15.185	14.525	310	20	29	3
21.57	13.515	410	20	29	4
25.685	9.37	182	20	29	5
24.485	4.35	386	20	29	6
22.175	3.105	285	20	29	7
14.525	3.425	463	20	29	8
8.25	2.85	397	20	29	9
4.63	3.59	272	20	29	10
15.36	15.58	255	20	29	11
14.61	14.91	1158	20	29	12
17.6	17.72	194	20	29	13
22.045	22.06	190	20	29	14
26.725	21.995	553	20	29	15
29.055	20.33	314	20	29	16
9.755	18.855	244	20	29	17
4.73	18.54	337	20	29	18
3.385	17.845	272	20	29	19
14.925	14.895	659	20	29	20
14.825	14.935	1805	20	29	21
16.77	13.63	253	21	23	1
20.955	14.63	150	21	23	2
14.515	15.13	552	21	23	3
24.205	16.455	221	21	23	4
22.795	16.21	155	21	23	5
13.8	15.77	189	21	23	6
14.72	15.125	596	21	23	7
16.225	6.525	244	21	23	8
20.06	13.035	231	21	23	9
11.295	7.545	325	21	23	10
16.11	17.98	242	21	23	11
19.81	22.78	190	21	23	12
26.355	22.055	161	21	23	13
22.77	11.92	247	21	23	14
